riddle,choice0,choice1,choice2,choice3,(index of correct choice)
"This word is a favorite of girls. Boys are unnerved on the mention of it. Once love finds its accompaniment, it becomes a lifelong event. What is it?",indefinitely,soul,forever,long,2
"This word is a favorite of girls. Boys are unnerved on the mention of it. Once love finds its accompaniment, it becomes a lifelong event. What is it?",long,soul,never,forever,3
I travel in waves.On the ocean shore.But also everywhere.You have been before.I am found in a shell.And traveling through the air.I am the soft purring of a cat.And the roar of a bear.What am I?,clever,sound,seam,seem,1
I travel in waves.On the ocean shore.But also everywhere.You have been before.I am found in a shell.And traveling through the air.I am the soft purring of a cat.And the roar of a bear.What am I?,seam,innocent,sound,seem,2
What starts with an e but only has a single letter in it?,jar,envelope,receipt,return address,1
What starts with an e but only has a single letter in it?,suitcase,return address,jar,envelope,3
"I'm very very strong but always hidden, eventually, my time will come and I'll fit in, what am I?",bones,skull,skeleton,ribs,0
"I'm very very strong but always hidden, eventually, my time will come and I'll fit in, what am I?",remains,bones,ribs,skull,1
What did the tree wear to the pool?,short sleeve,ocean,shark,Swim trunks,3
What did the tree wear to the pool?,ocean,Swim trunks,flip-flops,shark,1
"I can jump, and I can climb. With my many legs, I swing from tree to tree. I can make a house much bigger than me. What am I?",praying mantis,snake,spider,bird,2
"I can jump, and I can climb. With my many legs, I swing from tree to tree. I can make a house much bigger than me. What am I?",praying mantis,lizard,spider,snake,2
Cycle Cycle Cycle.,tricycle,bicycle,scooter,rollerblades,0
Cycle Cycle Cycle.,tricycle,unicycle,bicycle,rollerblades,0
"I can be anything I want to be, yet known to many as just one, but if things don't work out, I will be known by hardly anyone. What am I?",chameleon,actor,liar,screenwriter,1
"I can be anything I want to be, yet known to many as just one, but if things don't work out, I will be known by hardly anyone. What am I?",liar,actor,chameleon,actress,1
What gets wet while it's drying?,toothbrush,pillow,broom,towel,3
What gets wet while it's drying?,pillow,broom,washcloth,towel,3
"I talk, but I do not speak my mind. I hear words, but I do not listen to thoughts. When I wake, all see me. When I sleep, all hear me. Many heads are on my shoulders. Many hands are at my feet. The strongest steel cannot break my visage. But the softest whisper can destroy me. The quietest whimper can be heard.",actor,chameleon,liar,screenwriter,0
"I talk, but I do not speak my mind. I hear words, but I do not listen to thoughts. When I wake, all see me. When I sleep, all hear me. Many heads are on my shoulders. Many hands are at my feet. The strongest steel cannot break my visage. But the softest whisper can destroy me. The quietest whimper can be heard.",actor,chameleon,liar,actress,0
"I have teeth, but I don__ eat. What am I?",shave,comb,brush,scrub,1
"I have teeth, but I don__ eat. What am I?",scrub,shave,hair,comb,3
"Only five of the words in the riddle-line below are common names (bird-types; subspecies) of gulls.  The remaining one is a gull, too, but not a bird.  Which one is the oddity?  Herring, California, Pigeon, Western, Iceland, Laughing",squirrel,bird,frog,pigeon,3
"Only five of the words in the riddle-line below are common names (bird-types; subspecies) of gulls.  The remaining one is a gull, too, but not a bird.  Which one is the oddity?  Herring, California, Pigeon, Western, Iceland, Laughing",frog,bird,rabbit,pigeon,3
"Below is a riddle I have made out of song lyrics. Can you guess what it refers to?  Boys and girls of every age .Wouldn't you like to see something strange?  The night of the living dead is on its way.Brings to life everything that you fear.Pumpkins scream in the dead of night. Sun goes down, all dressed up.Everybody's waiting for the next surprise.Ride with the moon in the dead of night. And the best, I must confess.I have saved for the last.Is getting more candy than you've ever seen. Boys and girls of every age.Wouldn't you like to scare tonight?",Easter,Christmas,Thanksgiving,Halloween,3
"Below is a riddle I have made out of song lyrics. Can you guess what it refers to?  Boys and girls of every age .Wouldn't you like to see something strange?  The night of the living dead is on its way.Brings to life everything that you fear.Pumpkins scream in the dead of night. Sun goes down, all dressed up.Everybody's waiting for the next surprise.Ride with the moon in the dead of night. And the best, I must confess.I have saved for the last.Is getting more candy than you've ever seen. Boys and girls of every age.Wouldn't you like to scare tonight?",Christmas,Thanksgiving,Valentines,Halloween,3
Bind sure. What is the anagram word?,Canby,Cambie,Burnside,Arbutus,2
Bind sure. What is the anagram word?,Cambie,Arbutus,Burnside,Manhattan,2
"I have a scroll, but not the strongest man can open it. I have a bridge, but only strings cross it. I have pegs, but it doesn't have any use for hanging.  What am I?",clarinet,guitar,saxophone,violin,3
"I have a scroll, but not the strongest man can open it. I have a bridge, but only strings cross it. I have pegs, but it doesn't have any use for hanging.  What am I?",violin,guitar,clarinet,piano,0
"Tuesday, Sam and peter went to a restaurant. After eating lunch, they paid the bill. Sam and Peter did not pay, Who did?",friday,tuesday,tomorrow,Wednesday,1
"Tuesday, Sam and peter went to a restaurant. After eating lunch, they paid the bill. Sam and Peter did not pay, Who did?",tuesday,Thursday,Wednesday,tomorrow,0
It turns into a different story. What is it?,walkway,stairwell,spiral staircase,stairs,2
It turns into a different story. What is it?,walkway,elevator,spiral staircase,stairwell,2
"If you say my name, I disappear,Who am I ?",noise,darkness,silence,annihilation,2
"If you say my name, I disappear,Who am I ?",annihilation,silence,whisper,noise,1
"I really like to make my friends laugh, and my funny quips, make me quite special.",Florida Keys,James,Fred,valley,2
"I really like to make my friends laugh, and my funny quips, make me quite special.",Fred,Florida Keys,valley,Danny,0
"This is an old British riddle from 1300-1900 AD. What doth with his root upwards grow, and downward with his head doth show?",icicle,meteor,poison,snowman,0
"This is an old British riddle from 1300-1900 AD. What doth with his root upwards grow, and downward with his head doth show?",snowman,tornado,meteor,icicle,3
"My veins extend beneath the earth, My hands raised toward the sky, I can seem to live forever, Though many times I die.  I cry when I am wounded, Sweet tears that help me heal, I mourn and take off all my clothes, When bitterness I feel.  What am I?",tree,leaf,teddy bear,pillow,0
"My veins extend beneath the earth, My hands raised toward the sky, I can seem to live forever, Though many times I die.  I cry when I am wounded, Sweet tears that help me heal, I mourn and take off all my clothes, When bitterness I feel.  What am I?",cactus,pillow,tree,leaf,2
"A pot-hole filled valley, where rains often fall; A land through which no river shall crawl. What am I?",jar,cheese cloth,sieve,strainer,2
"A pot-hole filled valley, where rains often fall; A land through which no river shall crawl. What am I?",sponge,sieve,cheese cloth,strainer,1
"White and sparkly I can be, kids make angels out of me. What am I?",oxygen,winter,snow,Hydrogen peroxide,2
"White and sparkly I can be, kids make angels out of me. What am I?",snow,Hydrogen peroxide,winter,rain,0
"Tool of thief, toy of queen. Always used to be unseen. Sign of joy, sign of sorrow. Giving all likeness borrowed. What am I?",costume,breath,mask,bandanna,2
"Tool of thief, toy of queen. Always used to be unseen. Sign of joy, sign of sorrow. Giving all likeness borrowed. What am I?",breath,helmet,costume,mask,3
What color can you eat?,grey,orange,blue,brown,1
What color can you eat?,brown,red,grey,orange,3
"I'm called by three letters.Though I have a long name. I'm in all of you, But I'm never the same. I'm all coiled up.So that I am quite small, But if you stretch me out.I'll be really tall. I could be the root .Of certain disease; If man can unlock me.He'll solve many mysteries.",fingerprints,dna,bacteria,mutation,1
"I'm called by three letters.Though I have a long name. I'm in all of you, But I'm never the same. I'm all coiled up.So that I am quite small, But if you stretch me out.I'll be really tall. I could be the root .Of certain disease; If man can unlock me.He'll solve many mysteries.",fingerprints,bacteria,dna,ancestry,2
sk8er means what?,snowboard,goalie,rollerblades,skater,3
sk8er means what?,skater,biker,rollerblades,goalie,0
What has 5 eyes and is over 1000 miles long?,Gulf,ocean,Ozarks,Mississippi River,3
What has 5 eyes and is over 1000 miles long?,ocean,equator,Mississippi River,Ozarks,2
"One side up because there is nothing there, the other side is down cuz lead was placed here. Then I lead the other now everything is fair. What am I?",ratio,gravity,yardstick,scale,3
"One side up because there is nothing there, the other side is down cuz lead was placed here. Then I lead the other now everything is fair. What am I?",yardstick,depth,scale,gravity,2
"Sometimes I am light, sometimes I am dark. What am I?",sweets,chocolate,beer,caffeine,1
"Sometimes I am light, sometimes I am dark. What am I?",sweets,caffeine,chocolate,ice cream,2
"I am a fake stone, I am green without envy. I am three in one, I can symbolize the Trinity.  .What am I?",valley,hbk,lawler,shamrock,3
"I am a fake stone, I am green without envy. I am three in one, I can symbolize the Trinity.  .What am I?",shamrock,hbk,valley,Florida Keys,0
"With potent, flowery words speak I, Of something common, vulgar, dry; I weave webs of pedantic prose, In effort to befuddle those, Who think I while time away, In lofty things, above all day The common kind that linger where Monadic beings live and fare; Practical I may not be, But life, it seems, is full of me!",joker,Batman,riddler,Bruce Wayne,2
"With potent, flowery words speak I, Of something common, vulgar, dry; I weave webs of pedantic prose, In effort to befuddle those, Who think I while time away, In lofty things, above all day The common kind that linger where Monadic beings live and fare; Practical I may not be, But life, it seems, is full of me!",riddler,joker,nightwing,Batman,0
"I give you a group of three. One is sitting down, and will never get up. The second eats as much as is given to him, yet is always hungry. The third goes away and never returns.",oven,flashlight,map,stove,3
"I give you a group of three. One is sitting down, and will never get up. The second eats as much as is given to him, yet is always hungry. The third goes away and never returns.",microwave,stove,oven,map,1
"In the gang of friends, the funniest am I. I live under the sea, and I'm always colourful, bye-bye.",Fred,James,valley,Danny,0
"In the gang of friends, the funniest am I. I live under the sea, and I'm always colourful, bye-bye.",Fred,Florida Keys,Danny,James,0
One of four. Bloodline pure. History and secrets. I buried them low and deep. Listened. Spoke. Disagreed. Left. If you heard me speak. You may not understand. But the last words your hear. Were my sole command. I left behind. My virtues; my beliefs. And one day. My work will be finished. Who am I?,Aragog,Voldemort,Snape,Salazar Slytherin,3
One of four. Bloodline pure. History and secrets. I buried them low and deep. Listened. Spoke. Disagreed. Left. If you heard me speak. You may not understand. But the last words your hear. Were my sole command. I left behind. My virtues; my beliefs. And one day. My work will be finished. Who am I?,Snape,Dumbledore,Aragog,Salazar Slytherin,3
"A house where you are brought, If they find you or get caught. If you cross the government, This is where you will be sent.",life sentence,jail,murderer,handcuffs,1
"A house where you are brought, If they find you or get caught. If you cross the government, This is where you will be sent.",handcuffs,life sentence,prison,jail,3
"What was never scared but became petrified, can't make a bird but can make a bat, can't live in a house but would die to have one. What is it?",leaf,pillow,teddy bear,tree,3
"What was never scared but became petrified, can't make a bird but can make a bat, can't live in a house but would die to have one. What is it?",cactus,teddy bear,tree,leaf,2
I have skin but no bones. Hit me and I make a noise. I usually come in a set. What am I?,skeleton,drum,cymbals,skull,1
I have skin but no bones. Hit me and I make a noise. I usually come in a set. What am I?,percussion,skull,drum,cymbals,2
"I am gold, or I can be black and white. I__ a symbol for a nation when freedom took flight. What am I?",owl,tiger,eagle,giraffe,2
"I am gold, or I can be black and white. I__ a symbol for a nation when freedom took flight. What am I?",giraffe,bird,eagle,owl,2
"Take my first and make it my last, now I happened in the past.  What am I?",drink,lungs,snack,eat,3
"Take my first and make it my last, now I happened in the past.  What am I?",lungs,eat,oxygen,snack,1
"Stronger than steel, yet lighter than cotton.Found in a corner, forever forgotten.I bother so many, but marvel a few.You can't seem to make me.I'm a mystery to you.",praying mantis,fruit body,Spider silk,bone marrow,2
"Stronger than steel, yet lighter than cotton.Found in a corner, forever forgotten.I bother so many, but marvel a few.You can't seem to make me.I'm a mystery to you.",praying mantis,Spider silk,bone marrow,lizard,1
Send poorly behaved children to me and let them sit here. What am I?,teddy bear,corner,pillow,doorway,1
Send poorly behaved children to me and let them sit here. What am I?,pillow,staircase,corner,teddy bear,2
Account Wallet Clip Coins,monies,penny,money,windmills,2
Account Wallet Clip Coins,monies,wealth,money,windmills,2
Looks like a hippo crossed with a unicorn.,mesa,rhino,mirage,nomad,1
Looks like a hippo crossed with a unicorn.,rhino,nomad,mirage,oberon,0
"Guess what I am:  I love to eat peanuts, Or so the books say. I am getting more endangered.Every single day. I weigh about a ton, And I eat the same amount. What could I possibly be?",elephant,hippo,giraffe,gorilla,0
"Guess what I am:  I love to eat peanuts, Or so the books say. I am getting more endangered.Every single day. I weigh about a ton, And I eat the same amount. What could I possibly be?",gorilla,tiger,elephant,hippo,2
"A cloud was my mother, the wind is my father, my son is the cool stream, and my daughter is the fruit of the land. A rainbow is my bed, the earth my final resting place, and I'm the torment of man.",unicorn,rain,weather,snow,1
"A cloud was my mother, the wind is my father, my son is the cool stream, and my daughter is the fruit of the land. A rainbow is my bed, the earth my final resting place, and I'm the torment of man.",rain,snow,colors,unicorn,0
"What looks like bread, but moves?",cat,puppy,kitten,dog,0
"What looks like bread, but moves?",cat,raccoon,puppy,kitten,0
"Squeeze it and it cries tears. As red as its flesh, but its heart is made of stone.",cherry,Florida Keys,valley,hotswap,0
"Squeeze it and it cries tears. As red as its flesh, but its heart is made of stone.",cherry,peach,valley,hotswap,0
I am a contained world that you can shake but please don't drop me because I may break. What am I ?,snow globe,oxygen,invis,ult,0
I am a contained world that you can shake but please don't drop me because I may break. What am I ?,oxygen,Hydrogen peroxide,snow globe,ult,2
What is a frog's favorite electronic device?,iphone,ios,iPad,tablet,2
What is a frog's favorite electronic device?,tablet,Macbook,iPad,ios,2
"I go in hard, come out soft. Blow me hard and I'll make a pop. What am I?",toothpaste,gum,skittles,dental floss,1
"I go in hard, come out soft. Blow me hard and I'll make a pop. What am I?",cigarettes,gum,skittles,dental floss,1
"I shave several times a day, yet I still have a beard. Who am I?",haircut,hair,shave,barber,3
"I shave several times a day, yet I still have a beard. Who am I?",barber,hair,mustache,haircut,0
"Remove the outside, cook the inside, eat the outside, throw away the inside.",potatoes,giraffe,corn,tomatoes,2
"Remove the outside, cook the inside, eat the outside, throw away the inside.",tomatoes,corn,leprechaun,potatoes,1
A path of cow juice spread across the sky.,earth,yogurt,MilkyWay,cashew,2
A path of cow juice spread across the sky.,yogurt,MilkyWay,jupiter,earth,1
"Whoever makes it, tells it not; whoever takes it, knows it not; and whoever knows it, wants it not. What is it?",penny,wealth,counterfeit money,embezzlement,2
"Whoever makes it, tells it not; whoever takes it, knows it not; and whoever knows it, wants it not. What is it?",embezzlement,counterfeit money,bad checks,penny,1
What do people want the least on their hands?,handcuffs,collar,noose,duct tape,0
What do people want the least on their hands?,noose,duct tape,handcuffs,taser,2
"I am not a living thing, yet I could not exist without the sun and the rain.  What am I?",colors,sparkles,rainbow,banner,2
"I am not a living thing, yet I could not exist without the sun and the rain.  What am I?",unicorn,sparkles,colors,rainbow,3
A mini solar powered computer designed to help you pass Algebra.,calculator,spreadsheet,calculations,Macbook,0
A mini solar powered computer designed to help you pass Algebra.,thumbdrive,spreadsheet,calculator,Macbook,2
The first word of.my name is very simple: it is something that bees make. The.second word is something you might .style your hair with. What cereal am I?,honey comb,shave,bee hive,cool whip,0
The first word of.my name is very simple: it is something that bees make. The.second word is something you might .style your hair with. What cereal am I?,hair,bee hive,honey comb,cool whip,2
"A strange attraction compels me to hold your things most dear, yet I know it not, and feel no warmth in my holding. My brothers and I stick close together until one faces me, and then is pushed away.",hinge,magnet,toothpick,cork,1
"A strange attraction compels me to hold your things most dear, yet I know it not, and feel no warmth in my holding. My brothers and I stick close together until one faces me, and then is pushed away.",magnet,toothpick,hinge,copper tube,0
"Sad, sick, or sloppy I'll help you out,Use me right and I'll cover your snout.What am I?",tissue,pillow,placenta,teddy bear,0
"Sad, sick, or sloppy I'll help you out,Use me right and I'll cover your snout.What am I?",pillow,mucus,teddy bear,tissue,3
I'm yellow but I'm not the sun. I grow in a field but I'm not a sunflower. I'm found on an ear but I'm not a piece of jewelry. I go well with butter but I'm not a slice of toast. I'm associated with cob but I'm not a web. What am I?,tomatoes,corn,giraffe,potatoes,1
I'm yellow but I'm not the sun. I grow in a field but I'm not a sunflower. I'm found on an ear but I'm not a piece of jewelry. I go well with butter but I'm not a slice of toast. I'm associated with cob but I'm not a web. What am I?,giraffe,leprechaun,corn,tomatoes,2
All men take off their hats to one person. Who is this person?,shave,hair,haircut,barber,3
All men take off their hats to one person. Who is this person?,mustache,shave,haircut,barber,3
I am six letters. When you take one away I am twelve. What am I?,forty,five,dozens,thousands,2
I am six letters. When you take one away I am twelve. What am I?,five,dozens,hundreds,forty,1
"I appear in the morning. But am always there. You can never see me. Though I am everywhere. By night I am gone, though I sometimes never was. Nothing can defeat me. But I am easily gone.",sunburn,sunlight,daylight,rainstorm,1
"I appear in the morning. But am always there. You can never see me. Though I am everywhere. By night I am gone, though I sometimes never was. Nothing can defeat me. But I am easily gone.",sunlight,sunset,sunburn,daylight,0
"I rise like the sun on a hot summer day. I come in many different kinds, For I am yours to devour. I'm to most people's likes, To others I'm not. What am I?",bread,potatoes,butter,cheese,0
"I rise like the sun on a hot summer day. I come in many different kinds, For I am yours to devour. I'm to most people's likes, To others I'm not. What am I?",sandwich,bread,butter,potatoes,1
Where do cows go to dance?,meatball,salad,cheese,calzone,0
Where do cows go to dance?,sandwich,cheese,calzone,meatball,3
Swallowing one is fine.Swallowing two together is fine.But Swallow them separately and all shall fall.What are they?,mother fucker,magnets,toothpick,giraffes,1
Swallowing one is fine.Swallowing two together is fine.But Swallow them separately and all shall fall.What are they?,magnets,giraffes,toothpick,cork,0
The itsy bitsy teeny weeny yellow polka dot variety is quite popular.,lingerie,thong,sundress,bikini,3
The itsy bitsy teeny weeny yellow polka dot variety is quite popular.,thong,underwear,bikini,sundress,2
"Long legs, crooked thighs, little head, and no eyes.",wok,tongs,pliers,chopsticks,1
"Long legs, crooked thighs, little head, and no eyes.",pliers,tweezers,chopsticks,tongs,3
A life sustainer.But match restrainer. The farmer's top aid.I quell a parade. What am I?,weather,unicorn,snow,rain,3
A life sustainer.But match restrainer. The farmer's top aid.I quell a parade. What am I?,rain,colors,weather,unicorn,0
Items taken during a periodic pause.Travel from me up to your jaws. I sit on the back of your ride.Ensuring you can be identified. Touching me when I'm home might be fun.Doing so may constitute a run. What am I?,tray,gravity,yardstick,plate,3
Items taken during a periodic pause.Travel from me up to your jaws. I sit on the back of your ride.Ensuring you can be identified. Touching me when I'm home might be fun.Doing so may constitute a run. What am I?,gravity,batter,plate,yardstick,2
These are objects which can erupt. Like Vesuvius that destroyed Pompeii. They pump out lava and magma. And spray ash and rock which land miles away. What is it?,ocean,volcano,waterfall,lava,1
These are objects which can erupt. Like Vesuvius that destroyed Pompeii. They pump out lava and magma. And spray ash and rock which land miles away. What is it?,ocean,volcano,mountain,lava,1
I have four legs and a tail. I have no teeth. I can swim and dive underwater. I carry my house around with me.  I am a.,hippo,turtle,duck,octopus,1
I have four legs and a tail. I have no teeth. I can swim and dive underwater. I carry my house around with me.  I am a.,hippo,snake,duck,turtle,3
There was a BOLD rich man living alone in his house. Hi has everything he need and want. He buys everything that fancies him. There is everything in his house except one thing.  What is that one thin that he doesn't have?,hair,brush,comb,shave,2
There was a BOLD rich man living alone in his house. Hi has everything he need and want. He buys everything that fancies him. There is everything in his house except one thing.  What is that one thin that he doesn't have?,hair,scrub,brush,comb,3
Seven tiny people found me Lying in their bed Jealousy wants to have me killed For my beauty she so dreads The bite of an apple sent me to slumber An evil trick gone amiss. Awaken from an endless sleep By a charming Prince and a simple kiss Who am I?,Cinderella,oxygen,Mulan,Snow White,3
Seven tiny people found me Lying in their bed Jealousy wants to have me killed For my beauty she so dreads The bite of an apple sent me to slumber An evil trick gone amiss. Awaken from an endless sleep By a charming Prince and a simple kiss Who am I?,Snow White,oxygen,Hydrogen peroxide,Mulan,0
What animal has more lives than a cat?,bird,frog,lizard,crab,1
What animal has more lives than a cat?,crab,snake,lizard,frog,3
What has three feet but no arms or legs?,driveway,yard,asparagus,broccoli,1
What has three feet but no arms or legs?,garden,broccoli,asparagus,yard,3
"This dip for chips is a spanish style sauce, mainly consisting of peppers, diced tomatoes and spices for a spicy flavor.",chili,nachos,salsa,tortilla,2
"This dip for chips is a spanish style sauce, mainly consisting of peppers, diced tomatoes and spices for a spicy flavor.",chili,tortilla,salsa,tacos,2
It has many teeths if the teeth is broken it cant get back ?,comb,hair,shave,brush,0
It has many teeths if the teeth is broken it cant get back ?,comb,shave,hair,scrub,0
It gets passed among men and builds without growing. It serves to injure from a source unknowing. What is it?,lie,teddy bear,mattress,exaggerate,0
It gets passed among men and builds without growing. It serves to injure from a source unknowing. What is it?,exaggerate,teddy bear,pretend,lie,3
One pace to the North. Two paces to the East. Two paces to the South. Two paces to the West. One pace to the North.,Evaporated milk,square,rectangle,yeast,1
One pace to the North. Two paces to the East. Two paces to the South. Two paces to the West. One pace to the North.,square,yeast,rectangle,triangle,0
Silver and I have a prominent role to play.To ensure that the bad guys never get away. I am found around a rectangular table.As the primary focus returns to stable. If a deadly new contagion is unrestrained.Its prevention becomes my purpose newly-gained. A composite sketch do I make hard to produce.With this my identity can you now deduce?,bandanna,costume,mask,breath,2
Silver and I have a prominent role to play.To ensure that the bad guys never get away. I am found around a rectangular table.As the primary focus returns to stable. If a deadly new contagion is unrestrained.Its prevention becomes my purpose newly-gained. A composite sketch do I make hard to produce.With this my identity can you now deduce?,costume,helmet,mask,breath,2
"You don't want this, but if you have it, you don't want to lose it. What is it?",subpoena,lawsuit,defamation,defendant,1
"You don't want this, but if you have it, you don't want to lose it. What is it?",subpoena,estate,lawsuit,defendant,2
I have one eye but I still can't see. I can surf all day without the sea. I let you know what your friends have to say and I will wake you up every day. What I'm I?,android,ios,iphone,iPod,2
I have one eye but I still can't see. I can surf all day without the sea. I let you know what your friends have to say and I will wake you up every day. What I'm I?,ios,iphone,android,iPad,1
I am a slow mover. I have a life span of over 100 years. I enjoy the water. I go in my house whenever I am scared. What am I?,tarantula,bearded dragon,teddy bear,box turtle,3
I am a slow mover. I have a life span of over 100 years. I enjoy the water. I go in my house whenever I am scared. What am I?,box turtle,pillow,tarantula,teddy bear,0
I share people who you love. My fifth letter is in letter but not in mutt. if you cut off two heads I become what you do to hit some one with a weapon. I can have designes but I might be blank. My second letter is in racing but not in lace. If your you cut my first head and last head I become something you do to break a lock door. My third letter is in blanket but not in brother my fourth letter is in information but not in rational. My first letter is not in same but is in fame Sometime I can show your hard work. I can mean something boring or something that is really important not to do. I rhyme with two words in this riddle. What am I?,puppy,lens,raccoon,frame,3
I share people who you love. My fifth letter is in letter but not in mutt. if you cut off two heads I become what you do to hit some one with a weapon. I can have designes but I might be blank. My second letter is in racing but not in lace. If your you cut my first head and last head I become something you do to break a lock door. My third letter is in blanket but not in brother my fourth letter is in information but not in rational. My first letter is not in same but is in fame Sometime I can show your hard work. I can mean something boring or something that is really important not to do. I rhyme with two words in this riddle. What am I?,lens,raccoon,frame,spline,2
A box of Diamonds that Most love to eat. What Am I ?,sandwich,starch,cheese,sugar,3
A box of Diamonds that Most love to eat. What Am I ?,starch,sugar,sandwich,caffeine,1
I am a kind of game that people play. But I used to be a death sentence back in the day. What kind of game am I?,noose,riddle,hangman,gallows,2
I am a kind of game that people play. But I used to be a death sentence back in the day. What kind of game am I?,hangman,gallows,noose,battle royal,0
"With a twitch of your finger, I can take you many places. I must avoid many traps to stay alive. What am I?",Macbook,keyboard,mouse,joystick,2
"With a twitch of your finger, I can take you many places. I must avoid many traps to stay alive. What am I?",tablet,joystick,mouse,Macbook,2
"What in your wandering eyes .Should come clean, But a miniature slay .And one tiny cheese. If you push on the lever, You will get hurt. Just as true as if you're dirty, You're covered in dirt. What is it?",mousetrap,Macbook,doorknob,tablet,0
"What in your wandering eyes .Should come clean, But a miniature slay .And one tiny cheese. If you push on the lever, You will get hurt. Just as true as if you're dirty, You're covered in dirt. What is it?",mousetrap,Macbook,tablet,contraption,0
"What can be lost, but not returned?",romance,brilliant,life,headache,2
"What can be lost, but not returned?",childhood,brilliant,life,headache,2
My neighbor makes mistakes. I get rid of them. Who am I?,pencil,stylus,fingernail,eraser,3
My neighbor makes mistakes. I get rid of them. Who am I?,stylus,pencil,sharpie,eraser,3
What type of paper can you neither read nor write on?,steel wool,dremel,sandpaper,fingernail,2
What type of paper can you neither read nor write on?,fingernail,dremel,sandpaper,chisel,2
"Edible beach crawler served at seafood restaurants, similar to a lobster, but quite different.",fish,turtle,crab,shrimp,2
"Edible beach crawler served at seafood restaurants, similar to a lobster, but quite different.",lobster,shrimp,crab,fish,2
"I can soothe you, or drive you nuts. I can be quiet, but also blare in your ears. What does this? Figure that out, and you have found out the riddle.",rap,songs,music,artist,2
"I can soothe you, or drive you nuts. I can be quiet, but also blare in your ears. What does this? Figure that out, and you have found out the riddle.",artist,music,songs,guitar,1
If you drop a yellow hat in the Red Sea what does it become?,toothbrush,wet,dry,pillow,1
If you drop a yellow hat in the Red Sea what does it become?,wet,toothbrush,slippery,dry,0
"From the souls and hearts of mortal man, Made spontaneous or planned; Given life by breath or limb.From finger tip to glasses' rim. To each their own style of it, The birds' chatter or fox's chit; A gift, divine, by any standard.A guide to life, by some t'was branded. Used in churches or in homes, Written inside books or tomes. Falling, soaring, it twists and writhes, Bandages or poisoned knives. Hark! It marches out to war, Then leaves you coming back for more, As angels give it grace and life, Whilst some may help it wreak their strife. Sold for money or for joy, Given as a form of toy. Pray, tell me, am I famed? What have I so been named?",songs,guitar,artist,music,3
"From the souls and hearts of mortal man, Made spontaneous or planned; Given life by breath or limb.From finger tip to glasses' rim. To each their own style of it, The birds' chatter or fox's chit; A gift, divine, by any standard.A guide to life, by some t'was branded. Used in churches or in homes, Written inside books or tomes. Falling, soaring, it twists and writhes, Bandages or poisoned knives. Hark! It marches out to war, Then leaves you coming back for more, As angels give it grace and life, Whilst some may help it wreak their strife. Sold for money or for joy, Given as a form of toy. Pray, tell me, am I famed? What have I so been named?",music,rap,artist,songs,0
What has two legs but doesn't walk?,crane,climb,ladder,deck,2
What has two legs but doesn't walk?,railings,crane,climb,ladder,3
