questions,answers
"A prisoner is told: ""If you tell a lie, we will hang you and if you tellthe truth, we will shoot you.""What did the prisoner say to save himself?","""You will hang me.""Since they cannot hang him - that will make him true and they can only hang him for a lie, and they cannot shoot him - they would mean he told the truth but if they shoot him it's a lie - he is free to go."
What is something you can hold without ever touching?,Your breath.
What is so fragile that saying its name breaks it?,Silence.
"What word in the English language does the following: The first two letters signify a male, the first three letters signify a female, the first four letters signify a great man, while the entire word signifies a great woman. What is the word?",Heroine.He-Her-Hero-Heroine
"I am a word that begins with the letter ""i."" If you add the letter ""a"" to me, I become a new word with a different meaning, but that sounds exactly the same. What word am I?",IsleAdd an A to get Aisle.
What word is pronounced the same if you take away four of its five letters?,Queue
What word of five letters has one left when two are removed?,Stone
"What is 3/7 chicken, 2/3 cat and 2/4 goat?",Chicago
"What 4-letter word can be written forward, backward or upside down, and can still be read from left to right?",Noon.
"A word I know, six letters it contains, remove one letter and 12 remains. What is it?",Dozens.
What five-letter word becomes shorter when you add two letters to it?,Short
I am an odd number. Take away a letter and I become even. What number am I?,Seven
"What has many needles, but doesn't sew?",A Christmas tree.
"What has one eye, but can't see?",A needle.
"I start with T, end with T, and have T in me. What am I?",A Tea pot
I am a 7 letter word. I become longer when my third letter is removed. What am I?,Lounger.
What did one math book say to the other math book?,"""I've got a lot of problems."""
How do you make the word 'one' disappear?,Add a G - Gone.
What can run but can't walk?,A drop of water.
What has hands but can't clap?,A clock.
Everyone needs it. Everyone gives it. But few ever take it. What is it?,Advice.
"I can only live where there is light, but I die if the light shines on me. What am I?",A shadow.
I have keys but no locks. I have space but no room. You can enter but can't go outside. What am I?,A keyboard.
"I am a mother and a father, but have never given birth. I'm rarely still, but I never wander. What am I?",A tree.
We hurt without moving. We poison without touching. We bear the truth and the lies. We are not to be judged by our size.,Words
"What comes once in a minute, twice in a moment, but never in a thousand years?",The letter M.
"I have a head but no body, a heart but no blood. Just leaves and no branches, I grow without wood. What am I?",Cabbage.
"What word begins and ends with an E, but has only one letter?",Envelope.
What kind of cheese is made backwards?,Edam
"What falls, but never breaks. What breaks, but never falls?",Day and night.
"What sport starts with a T, has four letters, and is played around the world?",Golf.
What brings you down but never up?,Gravity.
What is heavy one way but not the other?,Ton.
"The shorter I am, the bigger I am.What am I?",A temper.
"You may enter, but you may not come in. I have space, but no room. I have keys, but open no lock. What am I?",A computer.
"What can you catch, but not throw?",A cold.
"Everyone asks for me, but everyone hates to face me. For some I am agony. For others, I am relief.What Am I?",The truth.
"I'm light as a feather, yet the strongest man can't hold me for more than a few minutes.What Am I?",Breath.
What is the coolest letter in the alphabet?,B! Why?Because it's surrounded by AC!
"If you have two twins, three triplets and four quadruplets, how many people do you have?","2 + 3 + 4 = 9 | Two twins are 2 people, three triplets are 3 people, and four quadruplets are 4 people."
"A woman shoots her husband, then holds him under water for five minutes.A little while later, they both go out for dinner and enjoy it very much.How can this be?",She took a photo.
You can't keep me until you have given me.What Am I?,Your word.
The barber of Seville shaves all men living in Seville.No man living in Seville is allowed to shave himself.The barber lives in Seville.Who then shaves the barber of Seville?,No one - the barber of Seville is a woman.
"I beam, shine and sparkle white,I brighten the day with a single light.I charm and enchant one and all,I can counter the darkest pall.What Am I?",A smile.
"I turn around once, what is out will not get in.I turn around again,what is in will not get out.What Am I?",A key.
If you see a knight jumping over another knight - what are you watching?,A game of Chess.
This city is the easiest city in the world to get to.,"Rome, because all roads lead to it."
"Soldiers line up, spaced with pride, two long rows lined side by side.One sole unit can decide,if the rows will unite or divide.What is it?",A pants fly (zipper).
The sun bakes them. The hand breaks them. The foot treads them. The mouth tastes them. What are they?,Grapes.
What breaks on water but never on land?,A wave.
I'm a rare case where today comes before yesterday. What am I?,A dictionary.
"I'm greater than God, more evil than the devil, the poor have me, the rich need me, and if you eat me, you'll die.What Am I?",Nothing.
What kind of tree can you carry in your hand?,A palm tree.
What kind of room has no doors or windows?,A mush-ROOM.
