questions,answers
"Large as a mountain, small as a pea,Endlessly swimming in a waterless sea.What am I?",An asteroid.
People are hired to get rid of me.I'm often hiding under your bed.In time I'll always return you see.Bite me and you're surely dead.What am I?,Dust
"My first is in wield, sever bones and marrow.My second is in blade, forged in cold steel.My third is in arbalest, and also in arrows.My fourth is in power, plunged through a shield.My fifth is in honour, and also in vowsMy last will put an end to it all.What am I?",Weapon.
"You can see nothing elseWhen you look in my face,I will look you in the eyeAnd I will never lie.What am I?",Refllection
"I do not breathe, but I run and jump.I do not eat, but I swim and stretch.I do not drink, but I sleep and stand.I do not think, but I grow and play.I do not see, but you see me every day.What am I?",Your leg.
"I make you weak at the worst of all times.I keep you safe, I keep you fine.I make your hands sweat, and your heart grow cold,I visit the weak, but seldom the bold.What am I?",Fear
"Walk on the living, they don't even mumble. Walk on the dead, they mutter and grumble.What are we?",Fallen Leaves
"As beautiful as the setting sun,As delicate as the morning dew;An angel's dusting from the starsthat can turn the Earth intoA frosted moon.What am I?",Snow
"Lovely and round,I shine with pale light,grown in the darkness,A lady's delight.What am I?",A pearl.
"Inside me the adventurous findQuests and treasures of every kind.Trolls, goblins, orcs, and more, awaitWithin my closed walls forAll those that wish to visit me.Your hands are the keyTo secrets untold,And your mind will unlock the door.What am I?",A book.
"Hands she has but does not hold,teeth she has but does not bite,feet she has but they are cold,eyes she has but without sight.Who is she?",A doll.
"A thousand colored folds stretch toward the sky,Atop a tender strand,Rising from the land,'Til killed by maiden's hand,Perhaps a token of love, perhaps to say goodbye.What am I?",A flower
"Three lives have I.Gentle enough to soothe the skin,Light enough to caress the sky,Hard enough to crack rocks.",Water
"Of no use to oneYet absolute bliss to two.The small boy gets it for nothing.The young man has to lie for it.The old man has to buy it.The baby's right,The lover's privilege,The hypocrite's mask.To the young girl, faith;To the married woman, hope;To the old maid, charity.What am I?",A kiss.
"Weight in my belly,Trees on my back,Nails in my ribs,Feet I do lack.What am I?",Ship.
"We are very little creatures; all of us have different features. One of us in glass is set; one of us you'll find in jet. Another you may see in tin, and a fourth is boxed within. If the fifth you should pursue, it can never fly from you.What are we?",The vowels.
"If a man carried my burdenHe would break his back.I am not rich,But leave silver in my track.Who am I?",A snail.
"I am seen in the waterIf seen in the sky,I am in the rainbow,A jay's feather,And lapis lazuli.What am I?",The color blue.
"I go around in circles,But always straight aheadNever complain,No matter where I am led.What am I?",A wheel.
"The cost of making only the maker knows,Valueless if bought, but sometimes traded.A poor man may give one as easily as a king.When one is broken pain and deceit are assured.What am I?",A promise.
"I drive men madFor love of me,Easily beaten,Never free.What am I?",Gold
"When young, I am sweet in the sun.When middle-aged, I make you giddy.When old, I am valued more than ever.What am I?",Wine
"I do not live, but I grow; I have no lungs, but I need air; I have no mouth, but water kills me. What am I?",Fire
I'm not pants but I have pockets;I can't dance but I have four legs.I come in different sizes depending on the size of the room.What am I?,A pool table
"I swing around on sticks, and use them to do my tricks, a white powder helps me to grip, and people cheer when I flip. What am I?",A gymnast
I am a ball that can be rolled but never bounced or thrown.What am I?,Eyeball
I am present in marshesAnd also in the rumen of cattleTo stop global warmingI do very little.What am I?,Methane gas
"When liquid splashes me, none seeps through.When I am moved a lot, liquid I spew.When I am hit, color I change.And color, I come in quite a range.What I cover is very complex, and I am very easy to flex.What am I?",Skin.
I'm unique in one way but you can find two of me in your daily drink. What am I?,Hydrogen.
"I may not be gold but I make gold look more beautiful. I help you fly and even though I'm not popular, my prices run high. What am I?",Rhodium
"Anyone can hold me, even without their hands, yet no one can do it for long.What am I?",Your breath.
"When combined, these four periodic elements make up something that terrifies criminals?","Carbon, Oxygen, Phosphorous & Sulfur (C + O + P + S)"
"I can be hot, I can be cold,I can run and I can be still,I can be hard and I can be soft.What am I?",Salt.
"What is neither water nor land, and is always soaking wet?",Wetlands.
"When the son of the water returns to the parent, it dies. What is it?",Ice.
I touch your face. I am in your words. I am a lack of space and beloved by birds. What am I?,Air
"I can be good for you, but I can also be bad for you. You can find me all over your body. What am I?",Bacteria.
I like to roam but always stay home. If you carried what I carried you'd break your back. What am I?,A snail.
"What is black when you buy it, red when you use it, and gray when you throw it away?",Charcoal.
I can eat a lot of iron without getting sick. What am I?,Rust.
"You can't see me, but I can see you. To be more specific, I see through. What am I?",An X-ray.
In addition to the sunThis is what enables plants to growIt is a four-letter wordAnd it comes before forest and bowWhat is it?,Rain
"I am a tunnel, a shortcut that connects places across space and time. What am I?",A wormhole.
"It is impossible for me to be created, and I can never be destroyed, I can only change form. What am I?",Energy.
I am three-quarters of the universe and almost nothing is known about me. What am I?,Dark matter.
"You will find me in Mercury, Earth, Mars, and Jupiter, but not on Venus or Neptune. What am I?",The letter R
I am a rock that's bigger than Venus but smaller than Uranus. What am I?,Earth
"Many have heard it, but nobody has ever seen it. It will not speak back unless spoken to. What is it?",An echo.
This fruit is made of two words conjoinedThe first part of it is also a treeThe second part is a different fruitAnd goes on a pizza from HawaiiWhat is it?,A pineapple
I can be chewed but should not be swallowed or eaten and always get thrown away. What am I?,Gum
I am the meanest of all foods and it takes all the might of your teeth to tear me apart. What am I?,Jerky
"I am a container without hinges, a lock, or a key, yet a golden treasure lies inside me. What am I?",An Egg
"Hot or cold, running or still, hard or soft, I can be anything. What am I?",Water
"I am clean, but not water.I am white, but not snow.I am sweet, but not ice cream.What am I?",Sugar
I am a beer yet kids can drink me and never get drunk. What am I?,Root beer
"I am a food that explodes. But long before I explode, I am already dead. I can be small, I can be big, and I can be fragrant. What am I?",Popcorn
"I come once in a minute, twice in a moment, but never in a thousand years. What am I?","The letter ""m""."
"If you hit me hard, I might crack. But you'll never stop me from staring back. What am I?",A mirror
"I am always in you and sometimes on you. If I surround you, I can kill you. What am I?",Water.
"I have lakes but no water. I have streets no cars. I have many places and borders, but I'm in one piece. What am I?",A map.
