questions,answers
"Ben has math lessons 4 times a week. If he has math 8:00 Monday, 9:20 on Tuesday, 10:40 on Wednesday, and 1:20 on Friday, when does Ben have math on Thursday?","He doesn't have math on Thursday... Only 4 times a week, remember?"
"If you toss a coin 10 times and it lands heads up every time, what are the chances it will land heads up if you toss it again?",
I am white and I am black. I am not fat because I need to be fast.  I confuse many people with my style. What am I?,A zebra.
I make billions of dollars selling Windows. Who am I?,Bill Gates
"If you happen to wear one of these warm garments around, you might get doused in red paint.",A fur coat.
"I love spinach and fighting, who am I?",Popeye.
I cause your vehicle to move without wanting to. What am I?,Tow truck
What's black and white and read all over?,A newspaper.
"There is a rooster sitting on top of a barn. If it laid an egg, which way would it roll?",Roosters don't lay eggs!
"If you have two coins which total 35 cents and one of the coins is not a dime, what are the two coins?","A dime and a quarter.(One is not a dime, but the other one is)"
When my father was 31 I was 8. Now he is twice as old as me. How old am I?,"23.The difference in age is 23 years, so I must be 23 if my father is twice as old as me."
"I am always hungry and will die if not fed, but whatever I touch will soon turn red. What am I?",Fire.
"People make me, save me, change me, raise me. What am I?",Money.
"I turn once, what is out will not get in. I turn again, what is in will not get out. What am I?",A key.
"The more you take, the more you leave behind. What are they?",Footsteps.
"Two fathers and two sons are in a car, yet there are only three people in the car. How?","They are a grandfather, father and son."
I am an odd number. Take away a letter and I become even. What number am I?,Seven
What has four wheels and flies?,A garbage truck
"What has 13 hearts, but no other organs?",A deck of cards.
What is always in front of you but can't be seen?,The future.
"I start with T, end with T, and have T in me. What am I?",A Tea pot
"Complete the sentence:If Tom's father is Tony, then Tony is the _____ of Tom's father.",Name.
I am a part of your body. You can hold me in your left hand but not in your right hand. What am I?,Your right elbow.
Our product and our sum always give the same answer. Who are we?,"1,2,31 + 2 + 3 = 61 * 2 * 3 = 6"
Michael was 13 years old in 1980 and 8 years old in 1985. How is it possible?,The dates are in BC.
What did the little lobster get on its math test?,Sea-plus.
What month do all soldiers hate?,March.
"A man has 365 apples. You take away 31, how many apples do you have?",31.You took 31 apples so that's how many you have.
"They are dark and on the run, and without sun there will be none.What are they?",Shadows.
"If I have it, I don't share it. If I share it, I don't have it.What is it?",A secret.
I'm tall when I'm young and short when I'm old.What am I?,A candle.
"If you drop me I'm sure to crack, but give me a smile and I'll always smile back.What am I?",A mirror.
You answer me but I ask you nothing. What am I?,A phone.
"What flies when it's born, lies when it's alive, and runs when it's dead?",A snow flake.
"Give me food, and I will live. Give me water, and I will die. What am I?",Fire.
"What word begins and ends with an E, but has only one letter?",Envelope.
What gets whiter the dirtier it gets?,A chalkboard.
I have 4 legs but I can't walk. What am I?,A table.
"I always follow my brother, though very different we are. You can see him but not me, you can hear me, but not him.",Thunder.
"People need me, but they always give me away. What am I?",Money.
What type of dress can never be worn?,An address.
What brings you down but never up?,Gravity.
"You use me from your head to your toes. The more I work, the thinner I grow. What am I?",A bar of soap.
"A man pushes his car, stops in front of a hotel, and immediately goes bankrupt. What is he doing?",He was playing monopoly.
"If you cut me, I won't cry - but YOU will.What am I?",An onion.
"What can you catch, but not throw?",A cold.
What tastes better than it smells?,A tongue.
Who makes moves while being seated?,A chess player.
I'm not alive but I have five fingers. What Am I?,A glove.
"A magician is standing on a concrete floor holding a raw egg with his hand outstretched.Without the aid of any other objects, he is able to drop the egg 2 feet without breaking its shell.How did he do it?","He dropped it from further than 2 feet, it fell the first 2 feet without breaking, before it broke on the floor."
A businessman buys a horse for $10 and sells it for $20. He then buys the same horse for $30 and sells it for $40.How much has the businessman earned in these 2 deals?,$20.
"Stacy's mother had 4 children: The first was April, the second was May, and the third was June.What was the name of the 4th child?",Stacy.
"How could the 22nd and 24th presidents of the United States have the same parents, but weren't brothers?","It was the same person, Grover Cleveland, who was elected twice, not in a row."
RAILROAD CROSSING.WATCH OUT FOR THE CARS!Can you spell that without any 'R's?,T-H-A-T.
Mr. Thompson has 2 children. One of them is a boy. What are the odds the second kid is also a boy?,50%
"A man is pushed out of an airplane, without a parachute. How was he able to survive?",The airplane was on the runway.
"A woman from New York married ten different men from that city, yet she did not break any laws. None of these men died, and she never divorced. How was this possible?",The lady was a Justice of the Peace and married other people.
The barber of Seville shaves all men living in Seville.No man living in Seville is allowed to shave himself.The barber lives in Seville.Who then shaves the barber of Seville?,No one - the barber of Seville is a woman.
"I turn around once, what is out will not get in.I turn around again,what is in will not get out.What Am I?",A key.
If you see a knight jumping over another knight - what are you watching?,A game of Chess.
"He hated the Eiffel tower, so every day in Paris he ate on the first floor of the tower. Why did he do that?",It was the only place he couldn't see the Eiffel tower from.
"I can shave every day, but my beard will stay the same. What am I?",A barber.
"Brothers and sisters I have none, but this man's father is my father's son. Who is the man?",My son.
I can travel around the world while staying in a corner.What Am I?,A stamp.
A new medical building containing 100 offices had just been completed. Mark was hired to paint the numbers 1 to 100 on the doors. How many times will Mark have to paint the number nine?,"20!These are the doors: 9, 19, 29, 39, 49, 59, 69, 79, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99."
"Take two numbers, such that the square of the first, plus the square of the second, shall equal 8; while the first, plus the product of the first and second, shall equal 6.  What are the two numbers?",2 and 2.
