,question,answer,a,b,c
10,"A boy stood on one side of a river, and his cat was on the other side. When the boy called his cat, it crosses the river right away. Moreover, the cat's fur remained completely dry, and it didn't use a boat, bridge, or any other manmade vessel or structure to cross the bridge.How did the cat do it?",The river was frozen.,The cat used a hidden underground tunnel.,The cat used a teleportation device.,The cat flew across the river.
11,"A boy stood on one side of a river, and his cat was on the other side. When the boy called his cat, it crosses the river right away. Moreover, the cat's fur remained completely dry, and it didn't use a boat, bridge, or any other manmade vessel or structure to cross the bridge.How did the cat do it?",The river was frozen.,The cat used a hidden underground tunnel.,The cat had the ability to teleport.,The cat walked on a series of floating logs or debris in the river.
12,"A boy was at a carnival and went to a booth where a man said to the boy, ""If I write your exact weight on this piece of paper then you have to give me $10, but if I cannot, I will pay you $10."" The boy looked around and saw no scale so he agrees, thinking no matter what the carny writes he'll just say he weighs more or less. In the end the boy ended up paying the man $10. How did the man win the bet?","He wrote ""Your exact weight."" on the paper.",He guessed the boy's weight correctly.,He used a hidden scale to weigh the boy.,He tricked the boy into revealing his weight.
13,"A boy was at a carnival and went to a booth where a man said to the boy, ""If I write your exact weight on this piece of paper then you have to give me $10, but if I cannot, I will pay you $10."" The boy looked around and saw no scale so he agrees, thinking no matter what the carny writes he'll just say he weighs more or less. In the end the boy ended up paying the man $10. How did the man win the bet?","He wrote ""Your exact weight."" on the paper.",The man wrote a weight that was close enough to the boy's actual weight.,The man used a hidden scale to accurately determine the boy's weight.,The man tricked the boy into revealing his weight through conversation.
14,A businessman buys a horse for $10 and sells it for $20. He then buys the same horse for $30 and sells it for $40.How much has the businessman earned in these 2 deals?,$20.00 ,$10,$30,$40
15,"A car thief, who had managed to evade the authorities in the past, unknowingly took the automobile that belonged to Detective Anderson. The detective wasted no time and spared no effort in discovering and carefully examining the available clues. He was able to identify four suspects with certainty that one of them was the culprit.The four make the statements below. From twelve of total statements, six are true and six false.Suspect A:1. C and I have met many times before today.2. B is guilty.3. The car thief did not know it was the Detective's car.Suspect B:1. D did not do it.2. D's third statement is false.3. I am innocent.Suspect C:1. I have never met A before today.2. B is not guilty.3. D knows how to drive.Suspect D:1. B's first statement is false.2. I do not know how to drive.3. A did it.Which one is the car thief?","Let's say 6 statements are lies.A's 1st statement and C's 1st statement negate each other. One of them is a lie.C's and D's negate each other. One of them is lying. Therefore, there are 4 additional false statements.Assume A is guilty. If so, A's second statement, B's second statement, and D's first statement are the additional lies.Assume D is guilty. If so, A's second statement, B's first statement, and D's third statement are lies. This also only makes five false statements. D did not do it.Assume C did it. If so, A's second statement, D's first and third statements are false. This again, makes only five false statements.After ruling out suspects A, C and D, B is the culprit. B's third statement, C's second statement, and D's first and third statements are the additional false statements. This adds up to six.",A is the car thief,C is the car thief,D is the car thief
16,"A cat can jump up to 6 and a half meters. There is a window 3 feet away from the floor, but the feline can't jump through it. Why?",The window was closed.,The cat was too lazy to jump.,The window was too small for the cat to fit through.,The cat was afraid of heights.
17,"A couple went on for a climbing trip. But only the husband returned from the vacation and said that his wife slipped off while climbing and died. On investigating, the local sheriff arrested him saying, 'Your travel agent called. You murdered your wife.'The man did not inform anyone about the trip. Then how did the agent was so sure that it is a murder?",The man bought only a one-way ticket for his wife whereas he bought a two-way ticket for himself. It means that he was sure that he will be returning alone.,The man had a history of violence and had previously threatened his wife's life.,The travel agent overheard the man discussing his plans to kill his wife.,"The man's wife had recently taken out a large life insurance policy, making the travel agent suspicious."
18,"A crime was committed in the middle of a forest, which left the police stumped. Who did it?",Probably a tree,A squirrel,A bear,A hiker
19,"A crime was committed in the middle of a forest, which left the police stumped. Who did it?",Probably a tree,A squirrel,A hiker,A bear
20,"A dagger thrust at my own heart,Dictates the way I'm swayed.Left I stand, and right I yield,To the twisting of the blade.What am I?",A Lock.,A key,A sword,A shield
21,"A dead body is found at the bottom of a multistory building. Seeing the position of the body, it is evident that the person jumped from one of the floors, committing suicide.A homicide detective is called to look after the case. He goes to the first floor and walks into the room facing the direction in which the body was found.He opens the window in that direction and flips a coin towards the floor. Then he goes to the second floor and repeats the process. He keeps on doing this until he reaches the last floor. Then, when he climbs down he tells the team that it is a murder, not suicide.How did he come to know that it was a murder?","None of the windows were left open. If the person jumped, who closed the window?","The detective noticed that there were no signs of forced entry or struggle on any of the floors, indicating that someone must have let the murderer into the building.","The detective found fingerprints on the windowsill of the room where the body was found, suggesting that someone had touched the window after the person jumped.","The detective discovered a suicide note in the victim's handwriting, but upon further examination, it was determined to be a forgery. This led the detective to believe that someone had staged the scene to look like a suicide."
22,"A doctor and a bus driver are both in love with the same woman - a beautiful girl named Monica. The bus driver had to go on a long bus trip that would last a week. Before he left, he gave Monica seven apples. Why?",Because an apple a day keeps the doctor away!,The bus driver wanted to give Monica a healthy snack for her journey.,The bus driver thought Monica would enjoy the taste of the apples.,The bus driver wanted to show Monica his affection by giving her a gift before he left.
23,"A doctor and a bus driver are both in love with the same woman - a beautiful girl named Monica. The bus driver had to go on a long bus trip that would last a week. Before he left, he gave Monica seven apples. Why?",Because an apple a day keeps the doctor away!,The bus driver gave Monica seven apples as a parting gift.,The bus driver wanted Monica to have a healthy snack while he was away.,The bus driver thought Monica would enjoy the taste of the apples.
24,"A doctor and a bus driver are in love with the same woman, Sarah. The bus driver had to go on a long trip that would take a week. Before he left, he gave Sarah 7 apples. Why did he do that?",An apple a day keeps the doctor away!,The bus driver wanted to show his affection for Sarah by giving her a healthy snack for the week.,The bus driver knew that Sarah loved apples and wanted to surprise her with a week's supply.,The bus driver wanted to ensure that Sarah had enough fruit to stay healthy while he was away.
25,"A dozen Royals gathered round, Entertained by two who clowned. Each King there had servants ten, Though none of them were also men. The lowest servant sometimes might, Defeat the King in a fair fight. A weapon stout, a priceless jewel, The beat of life, a farmer's tool. What is it?",A Deck of Cards.,A Chessboard,A Jester's Hat,A Crown Jewels
26,"A favorite by Teddy Roosevelt:""I talk, but I do not speak my mindI hear words, but I do not listen to thoughtsWhen I wake, all see meWhen I sleep, all hear meMany heads are on my shouldersMany hands are at my feetThe strongest steel cannot break my visageBut the softest whisper can destroy meThe quietest whimper can be heard.""",An actor.,A singer,A politician,A writer
27,A fireman is running to get a net under a lady who looks like she might jump off the balcony of her 20 story apartment building. There is nothing below her except a 20 story fall. The fireman is still 100 yards away when she falls and can't nearly get there in time. The woman is not hurt more than a bruise. How is that possible?,"She fell back into her apartment, jumping from the balcony into the inside.",She was wearing a parachute and landed safely.,The fireman caught her mid-air.,The woman fell onto a trampoline that was placed below her balcony.
28,"A girl has as many brothers as sisters, but each brother has only half as many brothers as sisters. How many brothers and sisters are there in the family?",Four sisters and three brothers,Two sisters and one brother,Three sisters and two brothers,Five sisters and four brothers
29,"A girl is sitting in a house at night that has no lights on at all. There is no lamp, no candle, nothing. Yet she is reading. How?","She's blind, and is reading Braille.",She is using a flashlight.,She is using a night vision device.,She is reading from a glowing electronic device.
30,"A group of campers have been on vacation so long, that they've forgotten the day of the week. The following conversation takes place.Darryl: What's the day? I don't think it is Thursday, Friday or Saturday.Tracy: Well that doesn't narrow it down much. Yesterday was Sunday.Melissa: Yesterday wasn't Sunday, tomorrow is Sunday.Ben: The day after tomorrow is Saturday.Adrienne: The day before yesterday was Thursday.Susie: Tomorrow is Saturday.David: I know that the day after tomorrow is not Friday.If only one person's statement is true, what day of the week is it?","It is Wednesday. If it was any other day of the week, more than one statement would be true.To solve the riddle, evaluate each person's statement and write down what day it could be according to the statement.David's statement indicates it could be any day of the week except for Wednesday. When you list the days that it could be according to everyone's statement, it turns out Wednesday is the day mentioned only one time.Darryl: Sunday, Monday, Tuesday, or WednesdayTracy: MondayMelissa: SaturdayBen: ThursdayAdrienne: SaturdaySusie: Friday David: Sunday, Monday, Tuesday, Thursday, Friday or Saturday",It is Monday.,It is Thursday.,It is Saturday.
31,A group of privates were standing in the blistering sun facing due west. Their sergeant shouted at them: Right turn! About turn! Left turn! In which direction are they now facing?,East,North,South,West
32,"A harvest sown and reaped on the same day In an unplowed field, Which increases without growing, Remains whole though it is eaten Within and without, Is useless and yet The staple of nations. What is it?",War.,Peace,Love,Happiness
33,"A hobo picks up cigarette butts from the ground and can make a cigarette with 4 butts. If he finds 16 cigarette butts, how many cigarettes can he make?",He can make 5 cigarettes. He makes four from the 16 butts and then another one from the 4 butts left from his smoking.,He can make 4 cigarettes. He makes four from the 16 butts and does not have any left to make another one.,He can make 6 cigarettes. He makes four from the 16 butts and then two more from the 4 butts left from his smoking.,He can make 3 cigarettes. He makes four from the 16 butts but cannot make another one from the 4 butts left from his smoking.
34,"A hobo picks up cigarette butts from the ground and can make a cigarette with 4 butts. If he finds 16 cigarette butts, how many cigarettes can he make?",He can make 5 cigarettes. He makes four from the 16 butts and then another one from the 4 butts left from his smoking.,He can make 4 cigarettes. He makes four from the 16 butts and does not have any left to make another one.,He can make 6 cigarettes. He makes four from the 16 butts and then two more from the 4 butts left from his smoking.,He can make 8 cigarettes. He makes four from the 16 butts and then another four from the 4 butts left from his smoking.
35,"A hobo picks up cigarette butts from the ground and can make a cigarette with 4 butts. If he finds 16 cigarette butts, how many cigarettes can he make?",He can make 5 cigarettes. He makes four from the 16 butts and then another one from the 4 butts left from his smoking.,He can make 4 cigarettes. He makes four from the 16 butts and does not have any left to make another one.,He can make 6 cigarettes. He makes four from the 16 butts and then two more from the 4 butts left from his smoking.,He can make 3 cigarettes. He makes four from the 16 butts but cannot make any more with the 4 butts left from his smoking.
36,"A hole leading in, a hole leading out, we connect to a cavern that is slimy all throughout. What are we?",A nose.,A mouth,A tunnel,A drain
37,"A horrid monster hides from the day,With many legs and many eyes.With silver chains it catches prey,And eats it all before it dies.Yet in every cottage does it stay,And every castle 'neath the sky.What is it?",A spider.,A snake,A bat,A scorpion
38,A horse was tied to a rope 5 meters long and the horses food was 15 meters away from the horse. How did the horse reach the food?,The rope wasn't tied to anything so he could reach the food.,The horse was able to stretch its neck 10 meters to reach the food.,The rope magically extended to 15 meters allowing the horse to reach the food.,The horse broke free from the rope and ran to the food.
39,"A house full, a hole full, but you can never gather a bowl full.What is it?",Smoke or fog.,Water,Sand,Air
40,"A house with two residents - sometimes one, seldom three.Crack the walls, eat the dwellers, then throw it away.What is it?",A pod with peanuts.,A nutcracker,A termite infestation,A demolition crew
41,"A house with two residents - sometimes one, seldom three.Crack the walls, eat the dwellers, then throw it away.What is it?",A pod with peanuts.,A shell with pistachios,A bag with almonds,A box with cashews
42,"A hundred stones are placed, in a straight line, a yard distant from each other. How many yards must a person walk, who undertakes to pick them up, and place them in a basket stationed one yard from the first stone?","10,100 yards.To collect the stones, the person must walk 1 yard to pick up the first stone, and then they had to double the distance each time - 2 yards, 4 yards, 8 yards etc.To find the answer we multiply 202 by 50 = 10,100 yards.","10,000 yards","10,200 yards","10,500 yards"
43,"A Japanese boat was stuck in water because of the storm, and after the storm, the captain was found dead. The engineer was busy fixing the signals, the cook was managing the wine barrels, the wife went to the room, and the maid was fixing the upside-down turned flag. Who killed the captain?","The maid. A Japanese flag is the same from all sides, with a red dot in the center of a white background.",The engineer,The cook,The wife
44,A killer told a detective that he would commit his next crime in the only place in Paris where you couldn't see the Eiffel Tower. How did the detective end up catching him?,The criminal was hiding in the Eiffel Tower itself.,The detective found the killer in a hidden underground tunnel beneath the Eiffel Tower.,"The detective discovered the killer in a remote, secluded area of Paris where the Eiffel Tower was not visible.",The detective apprehended the killer in a nearby building with a blocked view of the Eiffel Tower due to construction or obstruction.
45,A killer told a detective that he would commit his next crime in the only place in Paris where you couldn't see the Eiffel Tower. How did the detective end up catching him?,The criminal was hiding in the Eiffel Tower itself.,The detective found the killer in the Louvre Museum.,The detective discovered the killer in the Catacombs of Paris.,The detective apprehended the killer at the Notre-Dame Cathedral.
46,"A magician is standing on a concrete floor holding a raw egg with his hand outstretched.Without the aid of any other objects, he is able to drop the egg 2 feet without breaking its shell.How did he do it?","He dropped it from further than 2 feet, it fell the first 2 feet without breaking, before it broke on the floor.",He used a special type of egg that is unbreakable when dropped from a height of 2 feet.,"He used a magic spell to create a force field around the egg, protecting it from breaking when dropped.","He dropped the egg onto a cushioned surface, preventing it from breaking when it fell the first 2 feet."
47,"A magician was boasting one day at how long he could hold his breath under water. His record was 6 minutes. A kid that was listening said, ""that's nothing, I can stay under water for 10 minutes using no types of equipment or air pockets!"" The magician told the kid if he could do that, he'd give him $10,000. The kid did it and won the money. Can you figure out how?",The kid filled a glass of water and held it over his head for 10 minutes.,The kid was actually a fish and could breathe underwater.,The magician was using a stopwatch that malfunctioned and didn't accurately measure time.,The kid was able to hold his breath for 10 minutes by practicing a special breathing technique.
48,"A magician was boasting one day at how long he could hold his breath under water. His record was 6 minutes. A kid that was listening said, ""that's nothing, I can stay under water for 10 minutes using no types of equipment or air pockets!"" The magician told the kid if he could do that, he'd give him $10,000. The kid did it and won the money. Can you figure out how?",The kid filled a glass of water and held it over his head for 10 minutes.,The kid was actually a fish and could breathe underwater.,The magician was using a stopwatch that malfunctioned and didn't accurately measure time.,The kid was able to hold his breath for 10 minutes because he had previously trained and practiced holding his breath for long periods of time.
49,"A man buys a used car. He finds a beautiful Buick for $9,500, but he buys it without paying a dime. How does he buy it?","If he is paying $9500, he won't need any dimes!",He buys it using a credit card with a $0 balance.,He trades in his old car for the Buick.,He wins the car in a contest or lottery.
50,"A man calls his dog from the opposite side of the river. The dog crosses the river without getting wet, and without using a bridge or boat. How?",The river was frozen.,The man used a teleportation device to bring the dog to his side of the river.,The man used a long rope to pull the dog across the river.,The dog flew over the river using a pair of wings.
51,"A man entered his house and was about to hang up his coat when he heard his wife shout;""No John! Don't do it!""There was a shot and he could hear his wife fall down. When he entered the kitchen he saw his wife and the gun lying on the floor. There was a police officer, a doctor, and a lawyer standing next to her. Peter immediately knew that the police officer had shot her.But how did he come to know?",The police officer has a name on his badge.,The police officer was holding the gun.,The police officer had a guilty expression on his face.,The police officer was the only one with a weapon.
52,"A man goes out drinking every night, returning to his home in the wee hours of every morning. No matter how much he drinks, he never gets a hangover. This drink is very well known, but is rarely consumed, served warm and taken straight from its source. The man is a sucker for a free drink, especially since he can't live without it. What is his favorite drink?","Blood, he's a vampire!",Water,Coffee,Orange juice
53,"A man has 365 apples. You take away 31, how many apples do you have?",31.You took 31 apples so that's how many you have.,334,365,0
54,"A man has three daughters. A second, intelligent man, asked him the ages of his daughters. The first man told him that the product of their ages (them all multiplied together,) was 36. After thinking the second man was unable to find the answer and asked for another clue. The first man replies the sum of their ages is equal to his house door number. Still the second man was unable to answer and asked for another clue. The first man told him that his youngest daughter had blue eyes, and suddenly second man gave the correct answer. What were the ages of the first man's 3 children?","The ages are 6, 6 and 1.to solve, you want to write down all the 3 numbers whose product is 36.1, 1, 361, 3, 121, 4, 91, 2, 181, 6, 62, 2, 92, 3, 63, 3, 4Here's the hardest part, the fact that the doorbell clue was not enough to solve the puzzle means that if we add up each of these options, we get at least two results that are the same, and we need more information to decide which one.These are13: 1, 6, 613: 2, 2, 9Then to find the last hint, knowing that there IS a youngest child, means the smallest child doesn't have another sibling in the same age, meaning that 2,2,9 doesn't work, and we are left with 1, 6 and 6.","The ages are 4, 3, and 3.","The ages are 2, 2, and 18.","The ages are 9, 2, and 2."
55,"A man has three daughters. A second, intelligent man, asked him the ages of his daughters. The first man told him that the product of their ages (them all multiplied together,) was 36. After thinking the second man was unable to find the answer and asked for another clue. The first man replies the sum of their ages is equal to his house door number. Still the second man was unable to answer and asked for another clue. The first man told him that his youngest daughter had blue eyes, and suddenly second man gave the correct answer. What were the ages of the first man's 3 children?","The ages are 6, 6 and 1.to solve, you want to write down all the 3 numbers whose product is 36.1, 1, 361, 3, 121, 4, 91, 2, 181, 6, 62, 2, 92, 3, 63, 3, 4Here's the hardest part, the fact that the doorbell clue was not enough to solve the puzzle means that if we add up each of these options, we get at least two results that are the same, and we need more information to decide which one.These are13: 1, 6, 613: 2, 2, 9Then to find the last hint, knowing that there IS a youngest child, means the smallest child doesn't have another sibling in the same age, meaning that 2,2,9 doesn't work, and we are left with 1, 6 and 6.","The ages are 2, 3, and 12.","The ages are 4, 4, and 2.","The ages are 9, 2, and 2."
56,"A man is asked what his daughters look like.He says: ""They are all blondes except for two. They are all brunettes except for two. They are all redheads except for two.How many daughters did he have?","Three. One blonde, one redhead and one brunette.",Two. One blonde and one redhead.,"Four. Two blondes, one redhead, and one brunette.","Five. Two blondes, two brunettes, and one redhead."
57,"A man is found murdered on a Sunday morning. His wife calls the police, who question the wife and the staff, and are given the following alibis: the wife says she was sleeping, the butler was cleaning the closet, the gardener was picking vegetables, the maid was getting the mail, and the cook was preparing breakfast.Immediately, the police arrest the murderer. Who did it and how did the police know?",The maid. There is no mail on Sundays.,The wife. She was the only one who had the opportunity to be near the victim.,The butler. He could have used the cleaning supplies as a weapon.,The gardener. He could have used a gardening tool to commit the murder.
58,"A man is pushed out of an airplane, without a parachute. How was he able to survive?",The airplane was on the runway.,He landed in a body of water.,He was caught by a passing helicopter.,He used a makeshift parachute made from his clothing.
59,A man is sitting in a small house with 4 walls. All of the walls are facing south. There is a bear lurking near the house. What color is the bear?,"The bear is white. Since all the walls of the house are facing south, you can conclude that the house is located on the North Pole. Hence, the bear is most likely a polar bear.","The bear is black. Since all the walls of the house are facing south, it can be assumed that the house is located in a region where black bears are common.","The bear is brown. Since all the walls of the house are facing south, it can be assumed that the house is located in a region where brown bears are common.","The bear is gray. Since all the walls of the house are facing south, it can be assumed that the house is located in a region where gray bears are common."
60,A man is sitting in a small house with 4 walls. All of the walls are facing south. There is a bear lurking near the house. What color is the bear?,"The bear is white. Since all the walls of the house are facing south, you can conclude that the house is located on the North Pole. Hence, the bear is most likely a polar bear.","The bear is black. Since all the walls of the house are facing south, it can be assumed that the house is located in a region where black bears are commonly found.","The bear is brown. Since all the walls of the house are facing south, it can be assumed that the house is located in a region where brown bears are commonly found.","The bear is gray. Since all the walls of the house are facing south, it can be assumed that the house is located in a region where gray bears are commonly found."
61,"A man leaves home and turns three times, only to return home facing two people wearing masks. Who are they?",A catcher and umpire.,Two burglars,Two police officers,Two trick-or-treaters
62,"A man owned a casino and invited some friends.It was a dark stormy night, and they all placed their money on the table right before the lights went out.When the lights came back on, the money was gone.The owner put a rooster in an old rusty tea kettle.He told everyone to get in line and touch the kettle after he turned the lights off, and the rooster will crow when the robber touched it.After everyone touched it, the rooster didn't crow, so the man told everyone to hold out their hands.After examining all the hands, he pointed out who the robber was.How did he know who stole the money?","Because the tea kettle was rusty, whoever touched it would have rust on their hands. The robber didn't touch the kettle, therefore he was the only one whose hands weren't rusty.",The rooster crowed when the robber touched the kettle,The owner saw the robber stealing the money,The robber confessed to stealing the money
63,"A man pushes his car, stops in front of a hotel, and immediately goes bankrupt. What is he doing?",He was playing monopoly.,He was gambling,He was investing in stocks,He was robbed
64,"A man rode out of town on Sunday, he stayed a whole night at a hotel and rode back to town the next day on Sunday. How is this possible?",His Horse was called Sunday!,He never left town,He rode back in time,He used a teleportation device
65,"A man rode out of town on Sunday, he stayed a whole night at a hotel and rode back to town the next day on Sunday. How is this possible?",His Horse was called Sunday!,He never left town,He traveled through a time loop,He used a teleportation device
66,"A man was found dead while on his work trip abroad. The suspects were his colleagues Mason, Bob, Lisa, and Alex. On the calendar, 3, 4, 9, 10, 11 were written in blood. How should the detectives decode the numbers to find the killer?",The numbers are those of the months whose first letters spell out 'Mason'.,The numbers represent the dates on which the victim had important meetings with each of the suspects.,The numbers correspond to the number of times each suspect had interacted with the victim on the trip.,The numbers indicate the order in which the suspects were seen leaving the crime scene.
67,"A man was found dead while on his work trip abroad. The suspects were his colleagues Mason, Bob, Lisa, and Alex. On the calendar, 3, 4, 9, 10, 11 were written in blood. How should the detectives decode the numbers to find the killer?",The numbers are those of the months whose first letters spell out 'Mason'.,The numbers represent the dates on which the victim had important meetings with each of the suspects.,The numbers correspond to the number of times each suspect had interacted with the victim on the trip.,The numbers indicate the order in which the suspects were seen leaving the crime scene by a witness.
68,A man was just doing his job when his suit was torn. Why did he die three minutes later?,,He died from a heart attack unrelated to his torn suit.,He died from a pre-existing medical condition that was aggravated by the torn suit.,He died from a freak accident that occurred shortly after his suit was torn.
69,"A man went on a trip with a fox, a goose and a sack of corn. He came upon a stream which he had to cross and found a tiny boat to use to cross the stream. He could only take himself and one other - the fox, the goose, or the corn - one at a time. He could not leave the fox alone with the goose or the goose alone with the corn. How does he get all safely over the stream?",Take the goose over first and come back. Then take the fox over and bring the goose back. Now take the corn over and come back alone to get the goose. Take the goose over and the job is done!,Take the fox over first and come back. Then take the goose over and bring the fox back. Now take the corn over and come back alone to get the fox. Take the fox over and the job is done!,Take the corn over first and come back. Then take the goose over and bring the corn back. Now take the fox over and come back alone to get the corn. Take the corn over and the job is done!,Take the goose over first and come back. Then take the corn over and bring the goose back. Now take the fox over and come back alone to get the goose. Take the goose over and the job is done!
