questions,answers
"A group of campers have been on vacation so long, that they've forgotten the day of the week. The following conversation takes place.Darryl: What's the day? I don't think it is Thursday, Friday or Saturday.Tracy: Well that doesn't narrow it down much. Yesterday was Sunday.Melissa: Yesterday wasn't Sunday, tomorrow is Sunday.Ben: The day after tomorrow is Saturday.Adrienne: The day before yesterday was Thursday.Susie: Tomorrow is Saturday.David: I know that the day after tomorrow is not Friday.If only one person's statement is true, what day of the week is it?","It is Wednesday. If it was any other day of the week, more than one statement would be true.To solve the riddle, evaluate each person's statement and write down what day it could be according to the statement.David's statement indicates it could be any day of the week except for Wednesday. When you list the days that it could be according to everyone's statement, it turns out Wednesday is the day mentioned only one time.Darryl: Sunday, Monday, Tuesday, or WednesdayTracy: MondayMelissa: SaturdayBen: ThursdayAdrienne: SaturdaySusie: Friday David: Sunday, Monday, Tuesday, Thursday, Friday or Saturday"
"All about, but cannot be seen,Can be captured, cannot be heldNo throat, but can be heard.What is it?",Sound
"My first is in wield, sever bones and marrow.My second is in blade, forged in cold steel.My third is in arbalest, and also in arrows.My fourth is in power, plunged through a shield.My fifth is in honour, and also in vowsMy last will put an end to it all.What am I?",Weapon.
"Weight in my belly,Trees on my back,Nails in my ribs,Feet I do lack.What am I?",Ship.
"A man rode out of town on Sunday, he stayed a whole night at a hotel and rode back to town the next day on Sunday. How is this possible?",His Horse was called Sunday!
This is a hard one: How many triangles are in this complicated picture?,104 triangles.
"5 pirates are parting ways after finding a treasure of 100 pieces of gold. The pirates decide to split it based on a vote. Each pirate, from oldest to youngest, gets to propose a plan on how to split the gold.If at least 50 percent of the other remaining pirates agree on the plan, that is how they will split the gold. If less than 50 percent of the pirates agree, the pirate who came up with the plan will be thrown overboard. Each pirate is smart, greedy, and wants to throw as many others overboard as possible without reducing the amount of gold they get.What plan can the first (oldest) pirate propose to live and get as much gold as possible?","He can propose a plan that he gets 98 pieces of gold, the 3rd pirate gets 1 piece, and the 5th pirate gets 1 as well.If there were just 2 pirates the younger pirate would definitely deny the plan so he could get all of the gold.If there were 3 pirates the first pirate can offer the second pirate 1 piece of gold and take the rest himself because the second pirate wouldn't get anything if he has to propose a plan himself.If there were 4 pirates the first pirate could take 99 for himself and offer 1 to the youngest pirate. They would both agree. If the youngest disagrees then he won't get any gold in the next plan.So when there are 5 pirates it is in the interest of the 3rd and 5th pirate to accept 1 piece, because if they don't they won't get anything in the next plan."
123 = 04235 = 0656 = 25390 = 28890 = 61001 = 219235 = 1What is 123456789?,4.You count the closed circles in each number on the left side. so 656 has 2 (the closed circles of the 6s).
"It can't be seen, can't be felt, can't be heard and can't be smelt. It lies behind stars and under hills, and empty holes it fills. It comes first and follows after, ends life and kills laughter. What is it?",The Dark.
"A man has three daughters. A second, intelligent man, asked him the ages of his daughters. The first man told him that the product of their ages (them all multiplied together,) was 36. After thinking the second man was unable to find the answer and asked for another clue. The first man replies the sum of their ages is equal to his house door number. Still the second man was unable to answer and asked for another clue. The first man told him that his youngest daughter had blue eyes, and suddenly second man gave the correct answer. What were the ages of the first man's 3 children?","The ages are 6, 6 and 1.to solve, you want to write down all the 3 numbers whose product is 36.1, 1, 361, 3, 121, 4, 91, 2, 181, 6, 62, 2, 92, 3, 63, 3, 4Here's the hardest part, the fact that the doorbell clue was not enough to solve the puzzle means that if we add up each of these options, we get at least two results that are the same, and we need more information to decide which one.These are13: 1, 6, 613: 2, 2, 9Then to find the last hint, knowing that there IS a youngest child, means the smallest child doesn't have another sibling in the same age, meaning that 2,2,9 doesn't work, and we are left with 1, 6 and 6."
"Hick-a-more, Hack-a-more, On the kitchen floor;All the horses, all the men,Couldn't driveHick-a-more, Hack-a-more,Off the kitchen floor.",Sunshine.
What falls on the water but never gets wet?,A shadow.
"An old woman sweeps behind the house, but the dust turns up at your doorstep.What is it?",A blizzard.
"Riddle me, riddle me, rin-е-go, mother gave me some seeds to sow. The seeds were black, the ground was white. If you riddle me that, you'll escape my bite.What are they?",Pen and paper.
"A house full, a hole full, but you can never gather a bowl full.What is it?",Smoke or fog.
"I'm so weak that a little wind can move me.I'm so strong that when you cut me with a knife, it leaves no track.What is it?",Water.
"As I was going o'er London Bridge, I heard something crack. Not a man in all England can mend that!What is it?",Ice.
"I am all that you see, yet I'm nothing at all, and from you, I will flee.Formed of deception, I will twist your perception.Wherever I'm rising, I warp the horizon.What am I?",A mirage.
"The moon is my mother, The sea is my dad.I have a million brothers.When I reach land, I'm dead.What am I?",A wave.
We are the pearls of night stolen in the light of day.What are we?,Dewdrops.
"I can run but never walk,Have a mouth but never talk,Have a head but never weep,Have a bed but never sleep.What am I?",A river.
"Walks in the wind but stands where there's moist,Counts time, stops clocks,Swallows kingdoms, gnaws rocks.What is it?",Sand.
"What has roots that nobody sees,Is taller than trees,Up, up it goes,And yet never grows?",A mountain.
What falls but never breaks?,Dusk.
"What can be touched, but can't be seen?",Someone's heart.
"You see a boat filled with people, but there isn't a single person on board.How is this possible?",All the passengers were married.
"I connect two people, but I touch only one.What am I?",A wedding ring.
"I had no father, only a grandfather... I shall bear no sons, only daughters.What am I?",A bee.
"What is that which, while it lives, constantly changes its habit, That is buried before it is dead, and whose tomb is valued wherever it is found?",A silkworm.
"NASA was considering sending canaries into space to study them under zero gravity. The project was scrapped when someone realized that in spite of having sufficient water supplies, they could die of dehydration within a few hours. Why?","Birds, unlike humans, need gravity to swallow. Humans can swallow even while hanging upside down."
"A man went on a trip with a fox, a goose and a sack of corn. He came upon a stream which he had to cross and found a tiny boat to use to cross the stream. He could only take himself and one other - the fox, the goose, or the corn - one at a time. He could not leave the fox alone with the goose or the goose alone with the corn. How does he get all safely over the stream?",Take the goose over first and come back. Then take the fox over and bring the goose back. Now take the corn over and come back alone to get the goose. Take the goose over and the job is done!
"A group of campers have been on vacation so long, that they've forgotten the day of the week. The following conversation takes place.Darryl: What's the day? I don't think it is Thursday, Friday or Saturday.Tracy: Well that doesn't narrow it down much. Yesterday was Sunday.Melissa: Yesterday wasn't Sunday, tomorrow is Sunday.Ben: The day after tomorrow is Saturday.Adrienne: The day before yesterday was Thursday.Susie: Tomorrow is Saturday.David: I know that the day after tomorrow is not Friday.If only one person's statement is true, what day of the week is it?","It is Wednesday. If it was any other day of the week, more than one statement would be true.To solve the riddle, evaluate each person's statement and write down what day it could be according to the statement.David's statement indicates it could be any day of the week except for Wednesday. When you list the days that it could be according to everyone's statement, it turns out Wednesday is the day mentioned only one time.Darryl: Sunday, Monday, Tuesday, or WednesdayTracy: MondayMelissa: SaturdayBen: ThursdayAdrienne: SaturdaySusie: Friday David: Sunday, Monday, Tuesday, Thursday, Friday or Saturday"
"All about, but cannot be seen,Can be captured, cannot be heldNo throat, but can be heard.What is it?",Sound
"My first is in wield, sever bones and marrow.My second is in blade, forged in cold steel.My third is in arbalest, and also in arrows.My fourth is in power, plunged through a shield.My fifth is in honour, and also in vowsMy last will put an end to it all.What am I?",Weapon.
"Weight in my belly,Trees on my back,Nails in my ribs,Feet I do lack.What am I?",Ship.
"A man rode out of town on Sunday, he stayed a whole night at a hotel and rode back to town the next day on Sunday. How is this possible?",His Horse was called Sunday!
This is a hard one: How many triangles are in this complicated picture?,104 triangles.
"5 pirates are parting ways after finding a treasure of 100 pieces of gold. The pirates decide to split it based on a vote. Each pirate, from oldest to youngest, gets to propose a plan on how to split the gold.If at least 50 percent of the other remaining pirates agree on the plan, that is how they will split the gold. If less than 50 percent of the pirates agree, the pirate who came up with the plan will be thrown overboard. Each pirate is smart, greedy, and wants to throw as many others overboard as possible without reducing the amount of gold they get.What plan can the first (oldest) pirate propose to live and get as much gold as possible?","He can propose a plan that he gets 98 pieces of gold, the 3rd pirate gets 1 piece, and the 5th pirate gets 1 as well.If there were just 2 pirates the younger pirate would definitely deny the plan so he could get all of the gold.If there were 3 pirates the first pirate can offer the second pirate 1 piece of gold and take the rest himself because the second pirate wouldn't get anything if he has to propose a plan himself.If there were 4 pirates the first pirate could take 99 for himself and offer 1 to the youngest pirate. They would both agree. If the youngest disagrees then he won't get any gold in the next plan.So when there are 5 pirates it is in the interest of the 3rd and 5th pirate to accept 1 piece, because if they don't they won't get anything in the next plan."
123 = 04235 = 0656 = 25390 = 28890 = 61001 = 219235 = 1What is 123456789?,4.You count the closed circles in each number on the left side. so 656 has 2 (the closed circles of the 6s).
"It can't be seen, can't be felt, can't be heard and can't be smelt. It lies behind stars and under hills, and empty holes it fills. It comes first and follows after, ends life and kills laughter. What is it?",The Dark.
"A man has three daughters. A second, intelligent man, asked him the ages of his daughters. The first man told him that the product of their ages (them all multiplied together,) was 36. After thinking the second man was unable to find the answer and asked for another clue. The first man replies the sum of their ages is equal to his house door number. Still the second man was unable to answer and asked for another clue. The first man told him that his youngest daughter had blue eyes, and suddenly second man gave the correct answer. What were the ages of the first man's 3 children?","The ages are 6, 6 and 1.to solve, you want to write down all the 3 numbers whose product is 36.1, 1, 361, 3, 121, 4, 91, 2, 181, 6, 62, 2, 92, 3, 63, 3, 4Here's the hardest part, the fact that the doorbell clue was not enough to solve the puzzle means that if we add up each of these options, we get at least two results that are the same, and we need more information to decide which one.These are13: 1, 6, 613: 2, 2, 9Then to find the last hint, knowing that there IS a youngest child, means the smallest child doesn't have another sibling in the same age, meaning that 2,2,9 doesn't work, and we are left with 1, 6 and 6."
"Hick-a-more, Hack-a-more, On the kitchen floor;All the horses, all the men,Couldn't driveHick-a-more, Hack-a-more,Off the kitchen floor.",Sunshine.
What falls on the water but never gets wet?,A shadow.
"An old woman sweeps behind the house, but the dust turns up at your doorstep.What is it?",A blizzard.
"Riddle me, riddle me, rin-е-go, mother gave me some seeds to sow. The seeds were black, the ground was white. If you riddle me that, you'll escape my bite.What are they?",Pen and paper.
"A house full, a hole full, but you can never gather a bowl full.What is it?",Smoke or fog.
"I'm so weak that a little wind can move me.I'm so strong that when you cut me with a knife, it leaves no track.What is it?",Water.
"As I was going o'er London Bridge, I heard something crack. Not a man in all England can mend that!What is it?",Ice.
"I am all that you see, yet I'm nothing at all, and from you, I will flee.Formed of deception, I will twist your perception.Wherever I'm rising, I warp the horizon.What am I?",A mirage.
"The moon is my mother, The sea is my dad.I have a million brothers.When I reach land, I'm dead.What am I?",A wave.
We are the pearls of night stolen in the light of day.What are we?,Dewdrops.
"I can run but never walk,Have a mouth but never talk,Have a head but never weep,Have a bed but never sleep.What am I?",A river.
"Walks in the wind but stands where there's moist,Counts time, stops clocks,Swallows kingdoms, gnaws rocks.What is it?",Sand.
"What has roots that nobody sees,Is taller than trees,Up, up it goes,And yet never grows?",A mountain.
What falls but never breaks?,Dusk.
"What can be touched, but can't be seen?",Someone's heart.
"You see a boat filled with people, but there isn't a single person on board.How is this possible?",All the passengers were married.
"I connect two people, but I touch only one.What am I?",A wedding ring.
"I had no father, only a grandfather... I shall bear no sons, only daughters.What am I?",A bee.
"What is that which, while it lives, constantly changes its habit, That is buried before it is dead, and whose tomb is valued wherever it is found?",A silkworm.
"NASA was considering sending canaries into space to study them under zero gravity. The project was scrapped when someone realized that in spite of having sufficient water supplies, they could die of dehydration within a few hours. Why?","Birds, unlike humans, need gravity to swallow. Humans can swallow even while hanging upside down."
"A man went on a trip with a fox, a goose and a sack of corn. He came upon a stream which he had to cross and found a tiny boat to use to cross the stream. He could only take himself and one other - the fox, the goose, or the corn - one at a time. He could not leave the fox alone with the goose or the goose alone with the corn. How does he get all safely over the stream?",Take the goose over first and come back. Then take the fox over and bring the goose back. Now take the corn over and come back alone to get the goose. Take the goose over and the job is done!
"A group of campers have been on vacation so long, that they've forgotten the day of the week. The following conversation takes place.Darryl: What's the day? I don't think it is Thursday, Friday or Saturday.Tracy: Well that doesn't narrow it down much. Yesterday was Sunday.Melissa: Yesterday wasn't Sunday, tomorrow is Sunday.Ben: The day after tomorrow is Saturday.Adrienne: The day before yesterday was Thursday.Susie: Tomorrow is Saturday.David: I know that the day after tomorrow is not Friday.If only one person's statement is true, what day of the week is it?","It is Wednesday. If it was any other day of the week, more than one statement would be true.To solve the riddle, evaluate each person's statement and write down what day it could be according to the statement.David's statement indicates it could be any day of the week except for Wednesday. When you list the days that it could be according to everyone's statement, it turns out Wednesday is the day mentioned only one time.Darryl: Sunday, Monday, Tuesday, or WednesdayTracy: MondayMelissa: SaturdayBen: ThursdayAdrienne: SaturdaySusie: Friday David: Sunday, Monday, Tuesday, Thursday, Friday or Saturday"
"All about, but cannot be seen,Can be captured, cannot be heldNo throat, but can be heard.What is it?",Sound
"My first is in wield, sever bones and marrow.My second is in blade, forged in cold steel.My third is in arbalest, and also in arrows.My fourth is in power, plunged through a shield.My fifth is in honour, and also in vowsMy last will put an end to it all.What am I?",Weapon.
"Weight in my belly,Trees on my back,Nails in my ribs,Feet I do lack.What am I?",Ship.
"A man rode out of town on Sunday, he stayed a whole night at a hotel and rode back to town the next day on Sunday. How is this possible?",His Horse was called Sunday!
This is a hard one: How many triangles are in this complicated picture?,104 triangles.
"5 pirates are parting ways after finding a treasure of 100 pieces of gold. The pirates decide to split it based on a vote. Each pirate, from oldest to youngest, gets to propose a plan on how to split the gold.If at least 50 percent of the other remaining pirates agree on the plan, that is how they will split the gold. If less than 50 percent of the pirates agree, the pirate who came up with the plan will be thrown overboard. Each pirate is smart, greedy, and wants to throw as many others overboard as possible without reducing the amount of gold they get.What plan can the first (oldest) pirate propose to live and get as much gold as possible?","He can propose a plan that he gets 98 pieces of gold, the 3rd pirate gets 1 piece, and the 5th pirate gets 1 as well.If there were just 2 pirates the younger pirate would definitely deny the plan so he could get all of the gold.If there were 3 pirates the first pirate can offer the second pirate 1 piece of gold and take the rest himself because the second pirate wouldn't get anything if he has to propose a plan himself.If there were 4 pirates the first pirate could take 99 for himself and offer 1 to the youngest pirate. They would both agree. If the youngest disagrees then he won't get any gold in the next plan.So when there are 5 pirates it is in the interest of the 3rd and 5th pirate to accept 1 piece, because if they don't they won't get anything in the next plan."
123 = 04235 = 0656 = 25390 = 28890 = 61001 = 219235 = 1What is 123456789?,4.You count the closed circles in each number on the left side. so 656 has 2 (the closed circles of the 6s).
"It can't be seen, can't be felt, can't be heard and can't be smelt. It lies behind stars and under hills, and empty holes it fills. It comes first and follows after, ends life and kills laughter. What is it?",The Dark.
"A man has three daughters. A second, intelligent man, asked him the ages of his daughters. The first man told him that the product of their ages (them all multiplied together,) was 36. After thinking the second man was unable to find the answer and asked for another clue. The first man replies the sum of their ages is equal to his house door number. Still the second man was unable to answer and asked for another clue. The first man told him that his youngest daughter had blue eyes, and suddenly second man gave the correct answer. What were the ages of the first man's 3 children?","The ages are 6, 6 and 1.to solve, you want to write down all the 3 numbers whose product is 36.1, 1, 361, 3, 121, 4, 91, 2, 181, 6, 62, 2, 92, 3, 63, 3, 4Here's the hardest part, the fact that the doorbell clue was not enough to solve the puzzle means that if we add up each of these options, we get at least two results that are the same, and we need more information to decide which one.These are13: 1, 6, 613: 2, 2, 9Then to find the last hint, knowing that there IS a youngest child, means the smallest child doesn't have another sibling in the same age, meaning that 2,2,9 doesn't work, and we are left with 1, 6 and 6."
"Hick-a-more, Hack-a-more, On the kitchen floor;All the horses, all the men,Couldn't driveHick-a-more, Hack-a-more,Off the kitchen floor.",Sunshine.
What falls on the water but never gets wet?,A shadow.
"An old woman sweeps behind the house, but the dust turns up at your doorstep.What is it?",A blizzard.
"Riddle me, riddle me, rin-е-go, mother gave me some seeds to sow. The seeds were black, the ground was white. If you riddle me that, you'll escape my bite.What are they?",Pen and paper.
"A house full, a hole full, but you can never gather a bowl full.What is it?",Smoke or fog.
"I'm so weak that a little wind can move me.I'm so strong that when you cut me with a knife, it leaves no track.What is it?",Water.
"As I was going o'er London Bridge, I heard something crack. Not a man in all England can mend that!What is it?",Ice.
"I am all that you see, yet I'm nothing at all, and from you, I will flee.Formed of deception, I will twist your perception.Wherever I'm rising, I warp the horizon.What am I?",A mirage.
"The moon is my mother, The sea is my dad.I have a million brothers.When I reach land, I'm dead.What am I?",A wave.
We are the pearls of night stolen in the light of day.What are we?,Dewdrops.
"I can run but never walk,Have a mouth but never talk,Have a head but never weep,Have a bed but never sleep.What am I?",A river.
"Walks in the wind but stands where there's moist,Counts time, stops clocks,Swallows kingdoms, gnaws rocks.What is it?",Sand.
"What has roots that nobody sees,Is taller than trees,Up, up it goes,And yet never grows?",A mountain.
What falls but never breaks?,Dusk.
"What can be touched, but can't be seen?",Someone's heart.
"You see a boat filled with people, but there isn't a single person on board.How is this possible?",All the passengers were married.
"I connect two people, but I touch only one.What am I?",A wedding ring.
"I had no father, only a grandfather... I shall bear no sons, only daughters.What am I?",A bee.
"What is that which, while it lives, constantly changes its habit, That is buried before it is dead, and whose tomb is valued wherever it is found?",A silkworm.
"NASA was considering sending canaries into space to study them under zero gravity. The project was scrapped when someone realized that in spite of having sufficient water supplies, they could die of dehydration within a few hours. Why?","Birds, unlike humans, need gravity to swallow. Humans can swallow even while hanging upside down."
"A man went on a trip with a fox, a goose and a sack of corn. He came upon a stream which he had to cross and found a tiny boat to use to cross the stream. He could only take himself and one other - the fox, the goose, or the corn - one at a time. He could not leave the fox alone with the goose or the goose alone with the corn. How does he get all safely over the stream?",Take the goose over first and come back. Then take the fox over and bring the goose back. Now take the corn over and come back alone to get the goose. Take the goose over and the job is done!
"A group of campers have been on vacation so long, that they've forgotten the day of the week. The following conversation takes place.Darryl: What's the day? I don't think it is Thursday, Friday or Saturday.Tracy: Well that doesn't narrow it down much. Yesterday was Sunday.Melissa: Yesterday wasn't Sunday, tomorrow is Sunday.Ben: The day after tomorrow is Saturday.Adrienne: The day before yesterday was Thursday.Susie: Tomorrow is Saturday.David: I know that the day after tomorrow is not Friday.If only one person's statement is true, what day of the week is it?","It is Wednesday. If it was any other day of the week, more than one statement would be true.To solve the riddle, evaluate each person's statement and write down what day it could be according to the statement.David's statement indicates it could be any day of the week except for Wednesday. When you list the days that it could be according to everyone's statement, it turns out Wednesday is the day mentioned only one time.Darryl: Sunday, Monday, Tuesday, or WednesdayTracy: MondayMelissa: SaturdayBen: ThursdayAdrienne: SaturdaySusie: Friday David: Sunday, Monday, Tuesday, Thursday, Friday or Saturday"
"All about, but cannot be seen,Can be captured, cannot be heldNo throat, but can be heard.What is it?",Sound
"My first is in wield, sever bones and marrow.My second is in blade, forged in cold steel.My third is in arbalest, and also in arrows.My fourth is in power, plunged through a shield.My fifth is in honour, and also in vowsMy last will put an end to it all.What am I?",Weapon.
"Weight in my belly,Trees on my back,Nails in my ribs,Feet I do lack.What am I?",Ship.
"A man rode out of town on Sunday, he stayed a whole night at a hotel and rode back to town the next day on Sunday. How is this possible?",His Horse was called Sunday!
This is a hard one: How many triangles are in this complicated picture?,104 triangles.
"5 pirates are parting ways after finding a treasure of 100 pieces of gold. The pirates decide to split it based on a vote. Each pirate, from oldest to youngest, gets to propose a plan on how to split the gold.If at least 50 percent of the other remaining pirates agree on the plan, that is how they will split the gold. If less than 50 percent of the pirates agree, the pirate who came up with the plan will be thrown overboard. Each pirate is smart, greedy, and wants to throw as many others overboard as possible without reducing the amount of gold they get.What plan can the first (oldest) pirate propose to live and get as much gold as possible?","He can propose a plan that he gets 98 pieces of gold, the 3rd pirate gets 1 piece, and the 5th pirate gets 1 as well.If there were just 2 pirates the younger pirate would definitely deny the plan so he could get all of the gold.If there were 3 pirates the first pirate can offer the second pirate 1 piece of gold and take the rest himself because the second pirate wouldn't get anything if he has to propose a plan himself.If there were 4 pirates the first pirate could take 99 for himself and offer 1 to the youngest pirate. They would both agree. If the youngest disagrees then he won't get any gold in the next plan.So when there are 5 pirates it is in the interest of the 3rd and 5th pirate to accept 1 piece, because if they don't they won't get anything in the next plan."
123 = 04235 = 0656 = 25390 = 28890 = 61001 = 219235 = 1What is 123456789?,4.You count the closed circles in each number on the left side. so 656 has 2 (the closed circles of the 6s).
"It can't be seen, can't be felt, can't be heard and can't be smelt. It lies behind stars and under hills, and empty holes it fills. It comes first and follows after, ends life and kills laughter. What is it?",The Dark.
"A man has three daughters. A second, intelligent man, asked him the ages of his daughters. The first man told him that the product of their ages (them all multiplied together,) was 36. After thinking the second man was unable to find the answer and asked for another clue. The first man replies the sum of their ages is equal to his house door number. Still the second man was unable to answer and asked for another clue. The first man told him that his youngest daughter had blue eyes, and suddenly second man gave the correct answer. What were the ages of the first man's 3 children?","The ages are 6, 6 and 1.to solve, you want to write down all the 3 numbers whose product is 36.1, 1, 361, 3, 121, 4, 91, 2, 181, 6, 62, 2, 92, 3, 63, 3, 4Here's the hardest part, the fact that the doorbell clue was not enough to solve the puzzle means that if we add up each of these options, we get at least two results that are the same, and we need more information to decide which one.These are13: 1, 6, 613: 2, 2, 9Then to find the last hint, knowing that there IS a youngest child, means the smallest child doesn't have another sibling in the same age, meaning that 2,2,9 doesn't work, and we are left with 1, 6 and 6."
