questions,answers,Gpt
"Why did the chicken, the turkey, the goose, and the pigeon get in trouble?",Because of their fowl language.,"option : ""Because they were causing a ruckus."", option : ""Because they were trespassing."", option : ""Because they were stealing food."""
"A cat can jump up to 6 and a half meters. There is a window 3 feet away from the floor, but the feline can't jump through it. Why?",The window was closed.,"option : ""The cat was too lazy to jump.""
option : ""The window was too small for the cat to fit through.""
option : ""The cat was afraid of heights."""
Why did the fish blush?,It saw the ocean's bottom.,"option : ""It saw a shark"", option : ""It saw a mermaid"", option : ""It saw a submarine"""
"I have around 5,000 feathers and I'm a bird native to America. People say Benjamin Franklin wanted me to be the national bird of the United States.What am I?",A turkey.,"option : A bald eagle, option : A blue jay, option : A robin"
What happens when you're shaving a looney sheep?,Shear madness.,"option : ""Fleeced frenzy"", option : ""Crazy clippers"", option : ""Woolly chaos"""
What do you call a cow sucked up by a tornado?,A milkshake.,"option : A twister burger, option : A tornado steak, option : A cyclone smoothie"
I always sleep with my shoes on.What am I?,A horse.,"option : A dog, option : A cat, option : A bird"
What do you call a cow spying on another cow?,A steak out.,"option : ""A moo-nitoring"", option : ""A cattle surveillance"", option : ""A beef undercover"""
"I stash treasures in the ground,And dig them out in winter.You can find me in a tree,Nibbling on my nutty dinner.What am I?",A squirrel.,"option : Rabbit, option : Chipmunk, option : Raccoon"
What is the first animal in space?,The cow that jumped over the moon.,"option : The monkey that swung from the trees, option : The dog that chased its tail, option : The cat that purred in the sun"
"What goes tick-tock, bow-wow, tick-tock, bow-wow?",A watch dog.,"option : ""A cat meowing"", option : ""A bird chirping"", option : ""A cow mooing"""
"I have a duck's bill, a beaver's tail, webbed feet, and I lay eggs.What am I?",A platypus.,"option : A penguin, option : A seahorse, option : A flamingo"
What steps must you take when you notice a tiger running toward you?,Big ones!,"option : ""Hide behind a tree"", option : ""Try to outrun the tiger"", option : ""Stand still and hope it doesn't see you"""
Why is it so difficult for the leopard to hide?,Because it's always spotted.,"option : Because it's too slow., option : Because it's too big., option : Because it's too noisy."
"I have no arms and legs. I crawl on my belly, and I have a lethal sting. When I go to sleep, I curl into a ring but I leave my eyes open wide. What am I?",A snake.,"option : A scorpion, option : A spider, option : A caterpillar"
"I live on a farm and I'm pink.I'm famous for saying ""oink...oink.""Come near me, and you'll realize I stink.What am I?",A pig.,"option : A cow, option : A chicken, option : A horse"
"My arms are longer than my legs, and I can be taught sign language to communicate with humans.What am I?",A gorilla.,"option : A chimpanzee, option : An orangutan, option : A bonobo"
I grow down as I grow up.What am I?,A goose - goose feathers are called down.,"option : A tree, option : A mountain, option : A ladder"
I am always black and whiteBut I'm not an old TVI'm a kind of animalThat begins with the letter ZWho am I?,A zebra.,"option : A zucchini, option : A zebra fish, option : A zodiac sign"
"A boy stood on one side of a river, and his cat was on the other side. When the boy called his cat, it crosses the river right away. Moreover, the cat's fur remained completely dry, and it didn't use a boat, bridge, or any other manmade vessel or structure to cross the bridge.How did the cat do it?",The river was frozen.,"option : The cat used a hidden underground tunnel.
option : The cat had a secret teleportation power.
option : The cat walked on a series of floating logs."
"A young man entered a pet shop in search of a talking parrot. On one of the cages, he saw a sign saying, ""This parrot repeats everything it hears."" The man bought the parrot and tried to teach it to speak. Yet, he was unsuccessful. The bird didn't say one word in over 2 weeks. So the man decided to return the parrot and accused the shopkeeper of lying. However, the shopkeeper insisted that he was saying the truth...How is this possible?",The parrot was deaf.,"option 1: The parrot was mute.
option 2: The parrot was trained not to speak.
option 3: The parrot was too young to start speaking."
"What king do you make if you take the head of a llama, the middle of a pig, the back of a buffalo, and the tail of a stallion?",A lion.,"option : A tiger, option : A bear, option : A wolf"
"Sneaky as a shadow in the dead of night,Cunning but affectionate if given a bite.Never owned but often loved.What am I?",A cat.,"option : A dog, option : A snake, option : A bird"
What kind of can doesn't need a can-opener?,A pelican.,"option : A soda can, option : A soup can, option : A tuna can"
"I'm grey, but I'm no wolf,I have long ears, but I'm not a rabbit,I have hooves, but I'm not a cow.What am I?",A donkey.,"option : A wolf, option : A rabbit, option : A cow"
"I'm a pet with cute ears, four legs, and a tail at the end.You surely heard me barking. I'm known as man's best friend.What am I?",A dog.,"option : A cat, option : A horse, option : A bird"
"Some are afraid of this creature,Because it has a large bite.So be careful out in the ocean,One of its kin is a Great White.What is it?",A shark.,"option : A dolphin, option : A whale, option : A seal"
"Throughout the day I rest and sleep.At night, I fly and hunt.I have no feathers on my wings,Nor do I chirp or grunt.What am I?",A bat.,"option : A bird, option : A butterfly, option : A vampire"
I am named after the animal I eat.What am I?,An anteater.,"option : A lion, option : A tiger, option : A bear"
"I may be small, but I can climb a tower.What am I?",An ant.,"option : A spider, option : A squirrel, option : A bird"
"I'm not a superhero, but I have a cape. I have a comb, but I don't use it on my hair, and I am famously territorial.What am I?",A rooster.,"option : A peacock, option : A lion, option : A penguin"
"Imagine the following: you are walking through the woods and a huge bear is going to attack you. You are running for your dear life, but he is getting closer and closer...How can you escape from the bear?",Quit imagining.,"option : ""Climb up a tree"", option : ""Play dead"", option : ""Throw food at the bear"""
What did the duck say to the rooster as he dared him to a fight?,Are you chicken?,"option : ""Quack off!"", option : ""Feathers will fly!"", option : ""Time to ruffle some feathers!"""
"The dog was wearing a 2-foot leash. When he saw a squirrel, he immediately started chasing it, and he was really able to catch the squirrel.How did the dog succeed?",The leash was not tied to anything.,"option : The dog was incredibly fast, option : The squirrel was injured and couldn't run, option : The dog had a secret superpower"
This is a type of animalKnown for its long face.It's very good at runningSo people ride it in a race.,A horse.,"option : A cow, option : A dog, option : A cheetah"
What do you call several identical parakeets sitting at the edge of a roof?,Parapets.,"option : Parakeets, option : Roof, option : Edge"
What did the aardvark ask the taxi driver?,Can you take me to my ants' place?,"option : ""Do you know where the nearest zoo is?"", option : ""Can you recommend a good restaurant?"", option : ""How much does a taxi ride usually cost?"""
Why did the silly dog swim down the rapids?,"Because he likes ""ruff"" waters!","option : ""Because he wanted to cool off!"", option : ""Because he was chasing a fish!"", option : ""Because he thought it was a game!"""
1 duck saw 4 elephants as it was going toward the river.Every elephant noticed 2 monkeys going to the river.Every monkey was carrying 1 dove in its paws.How many animals are going to the river?,"Five animals are moving toward the river.Here's a detailed answer:1 duck noticed 4 elephants as it was going toward the river. Hence, 1 animal (the duck) is moving to the river.The 4 elephants saw 2 monkeys going walking toward the river. Now comes the tricky part. You may think that each elephant saw 2 different monkeys walking toward the river. So you would conclude that 4 x 2 = 8 monkeys were going to the river.However, the task does not explicitly say that each elephant saw DIFFERENT monkeys. In fact, you can logically infer that the elephants saw the SAME 2 monkeys. Hence, we only have 2 additional animals (monkeys) moving toward the river.Since every monkey was carrying 1 dove, the 2 monkeys were carrying 2 doves in total.Summing up, we have 1 duck, 2 monkeys, and 2 doves moving to the river. 1 + 2 + 2 = 5 animals.","option : ""Three animals are moving toward the river.""
option : ""Seven animals are moving toward the river.""
option : ""Four animals are moving toward the river."""
"You've got a sack of corn, a chicken, and a fox. You have to cross a river, but you can only carry them one at a time. If you leave the chicken with the sack of corn, the chicken will eat the corn. If you leave the fox alone with the chicken, the fox will eat the bird.How can you get all three things across the river safely?","Cross the river with the chicken, then go back and carry the corn over the river. However, instead of leaving the corn with the bird, return together with the chicken. Cross the river for the third time with the fox, leaving the chicken behind. Leave the fox with the sack of corn, and return for the last time to get the chicken. Done!","option 1: Cross the river with the fox, then go back and carry the chicken over the river. However, instead of leaving the chicken with the fox, return together with the fox. Cross the river for the third time with the corn, leaving the fox behind. Leave the corn with the chicken, and return for the last time to get the fox.

option 2: Cross the river with the corn, then go back and carry the chicken over the river. However, instead of leaving the chicken with the corn, return together with the chicken. Cross the river for the third time with the fox, leaving the chicken behind. Leave the fox with the corn, and return for the last time to get the chicken.

option 3: Cross the river with the chicken, then go back and carry the fox over the river. However, instead of leaving the fox with the chicken, return together with the fox. Cross the river for the third time with the corn, leaving the fox behind. Leave the corn with the chicken, and return for the last time to get the fox."
What do you call a three-humped camel?,Pregnant.,"option : Bumpy, option : Triplet, option : Unique"
"You enter a room and notice a bed. There are 3 dogs, 2 cats, 1 goat, 4 crows, and a goose on the bed. In addition, 3 sparrows are flying around the bed.How many LEGS are there on the floor?",There are 6 legs on the floor.,"option : There are 10 legs on the floor.
option : There are 12 legs on the floor.
option : There are 14 legs on the floor."
What lives in a tiny house all alone?,A baby chick in an egg.,"option : A mouse in a hole, option : A spider in a web, option : A bird in a nest"
"My first letter is in sea but not in ocean,The second is in change but not in motion.My third letter in boat but never in ship,And the fourth is in travel as well as in trip.The fifth letter is in dark but not in caves,And my whole is a triangle popping up from the waves.  What am I?",A shark.,"option : A dolphin, option : A whale, option : A turtle"
"My first letter is in cloud, but never in sky.The second is in roll but not in lie,My third letter is in water but not in trees.My whole makes you milk, kefir, and cheese.What am I?",A cow.,"option : A pig, option : A goat, option : A sheep"
"My first letter is in follow but not in lead, and the second is in write but not in read.My third letter is in sky but not in cloud, my fourth is in humble but not in proud.My all makes circles in a bowl, or lies on a plate cooked up whole.What am I?",A fish.,"option : A bird, option : A tree, option : A rock"
"I sizzle like bacon, but I hatched from an egg,I expand when I eat, and I have no legs.What am I?",A snake.,"option : A lizard, option : A caterpillar, option : A turtle"
"I have got a crown like a king, but I'm a disgrace when I sing.There are fewer eyes on my face than my tail, but only when I'm a male.What am I?",A peacock.,"option : A lion, option : A rooster, option : A parrot"
"I'm the opposite of a dog, but I'm not a god.I move my tail when I'm mad and growl when I'm pleased.What am I?",A cat.,"option : A bird, option : A snake, option : A cow"
I feed on leaves from treetops but my feet never leave the earth.What am I?,A giraffe.,"option : A koala, option : A sloth, option : A panda"
"I go to school all my life, and I never leave the water, even though I breathe air. What am I?",A dolphin.,"option : A fish, option : A whale, option : A turtle"
"I often join you at parties and holidays, but I never get to enjoy them.What am I?",A turkey.,"option : A balloon, option : A present, option : A piñata"
I grow from egg to fish to creature.I burp when I talk and I jump when as I walk.What am I?,A frog.,"option : A lizard, option : A tadpole, option : A snake"
"I have no legs, eyes, or nose, but if you give me enough time, I can move the earth.What am I?",A worm.,"option : A snail, option : A caterpillar, option : A mole"
I have black circles around my eyes - even when I'm not exhausted.What am I?,A panda.,"option : A raccoon, option : A zebra, option : A skunk"
Play me with a ball and bat. Or hear me sing in a tophat.What am I?,A cricket.,"option : A baseball, option : A magician, option : A bird"
"Alive without breath, as cold as death.All in mail never clinking.Never thirsty, ever drinking.What am I?",A fish.,"option : A rock, option : A tree, option : A ghost"
"Born in water, I drown in water.A blood-thirsty beast you can barely see.What am I?",A mosquito.,"option : A jellyfish, option : A leech, option : A vampire bat"
"As small as your thumb, I am light in the air.You may hear me before you see me, But trust me, I'm there.What am I?",A hummingbird.,"option : A butterfly, option : A mosquito, option : A dragonfly"
"I have a face like a tree and skin like the sea.A great beast I am, yet small vermin frighten me.What am I?",An elephant.,"option : A lion, option : A whale, option : A crocodile"
"I create my lair with earthen string,And dispatch my prey with a biting sting.What am I?",A spider.,"option : A scorpion, option : A snake, option : A wasp"
"I had no father, only a grandfather... I shall bear no sons, only daughters.What am I?",A bee.,"option : A flower, option : A bird, option : A tree"
I plow and plow but never sow.What am I?,A pig.,"option : A tractor, option : A shovel, option : A plow horse"
"I have four legs but no tail. Usually, I am heard only at night.What am I?",A frog.,"option : A bat, option : A cricket, option : A owl"
"What is that which, while it lives, constantly changes its habit, That is buried before it is dead, and whose tomb is valued wherever it is found?",A silkworm.,"option : A caterpillar, option : A chameleon, option : A butterfly"
"My first letter is in window but not in pane.My second's in road but not in lane.My third is in oval but not in round.My fourth is in hearing but not in sound.My whole is known as a sign of peace.And from Noah's Ark, I won quick release.What am I?",A dove.,"option : A sparrow, option : A pigeon, option : A seagull"
"A prickly house a little host contains.The pointed weapons keep back from pains,So he, unarmed, safe in his fort remains.Who is he?",A hedgehog.,"option : A porcupine, option : A cactus, option : A sea urchin"
What can honk without a horn?,A goose.,"option : A car, option : A bicycle, option : A train"
"I am an insect, and the first part of my name is another insect.What insect am I?",A beetle.,"option : A butterfly, option : A ladybug, option : A mosquito"
My first letter is in ocean but never in sea.My second's in wasp but never in bee.My third is in glider and also in flight.My whole is a creature that comes out at night.What am I?,An owl.,"option : A bat, option : A wolf, option : A moth"
"Oh, how I love my dancing feet!They stay together - oh so neat.And when I want to walk a line,They all stay together and do double time.I count them up, ten times or more,And race on-off, across the floor.",A centipede.,"option 1: A spider, option 2: A millipede, option 3: A caterpillar"
"I can jump, I can swim,I swing from tree to tree.And I can also weave a houseThat's much bigger than me.What am I?",A spider.,"option : A monkey, option : A bird, option : A squirrel"
"It can be in a hat,Or out of the bag.If you see it you'll be smitten,'Cause it's fluffy like a mitten.What is it?",A cat.,"option : A dog, option : A rabbit, option : A teddy bear"
"It's small but larger than a bee,And agile as a flea.It hums but does not buzz,And it's not covered with fuzz.It is a small collectorOr juicy flower nectar,What is it?",A hummingbird.,"option : A butterfly, option : A mosquito, option : A dragonfly"
"It can be white, blue, or black,Humped or have a horn.And when it talks, it sings its minuets,As it's traveling the depths.What is it?",A whale.,"option : A dolphin, option : A narwhal, option : A seahorse"
"I have no sword, I have no spear,Yet rule a horde that many fear,My soldiers fight with a wicked sting,I rule with might, yet I'm no king.What am I?",A queen bee.,"option : A lion, option : A dictator, option : A general"
"The cow is my cousin.If you see my name, you'll understand why.What am I?",A moose.,"option : A deer, option : A horse, option : A buffalo"
"What has armor but is not a knight,Snaps but is not a twig,And is always at homeEven on the move?",A turtle.,"option : A crab, option : A pangolin, option : A armadillo"
"If a man could carry my burden, he would break his back.I am not rich, but leave silver in my track.What am I?",A snail.,"option : A turtle, option : A backpack, option : A mountain"
"I hang upside-down on trees.I'm the opposite of busy bees.I sleep and sleep, I'm very slow, and on each footI have three toes.What am I?",A sloth.,"option : A monkey, option : A bat, option : A koala"
"I am both a bird and a kind of fruit, and I can even be a person.What am I?",Kiwi.,"option : Mango, option : Pineapple, option : Banana"
"You say ""hey."" I'll eat it.I say ""neigh.""What am I?",A horse.,"option : A cow, option : A dog, option : A cat"
"My start goes on toast, and my end's how birds move.My baby eats leaves, whereas I drink flowers.",Butterfly.,"option : ""Caterpillar"", option : ""Dragonfly"", option : ""Ladybug"""
"Cupid without a bow.Donner with no kebab.One who dances, one who prances, all dragging present-giving dad.What am I?",A reindeer.,"option : A sleigh, option : A snowman, option : A Christmas tree"
I've got a hole in my back and legs I lack.I live where I can't breathe and I eat without teeth.What am I?,A whale.,"option : A fish, option : A shark, option : A dolphin"
"When I walk, I jump, and when I stand, I sit.What animal am I?",A kangaroo.,"option : A frog, option : A grasshopper, option : A rabbit"
I peel like an onion yet remain whole.Which mystery creature am I?,A lizard.,"option : A snake, option : A turtle, option : A chameleon"
"I walk on silken strings and catch all sorts of things.When you find my home, I am gone.What am I?",A spider.,"option : A butterfly, option : A bird, option : A fish"
I'm the only known mammal incapable of jumping. That's because I'm very large.What animal am I?,An elephant.,"option : Giraffe, option : Rhino, option : Hippopotamus"
"My field of vision is 270 degrees, and I'm quiet and sneaky like a ninja when I hunt for my prey.What bird am I?",An owl.,"option : A hawk, option : A falcon, option : A vulture"
"I was born small and pink, but then I grew big and black and white.I'm lazy to cook, so all I eat is bamboo.What animal am I?",A panda.,"option : A zebra, option : A polar bear, option : A koala"
"I've got horns, but I can't honk.Instead, I bleat, but I'm no sheep.What am I?",A goat,"option : A cow, option : A horse, option : A deer"
"I hover and zip through the air with a dazzling flare.I move from flower to flower, humming a tune, but I'm no insect.What am I?",A hummingbird.,"option : A butterfly, option : A dragonfly, option : A bumblebee"
"I am a king, and the jungle is my kingdom.I have a lush mane, and I'm tough to train.What am I?",A lion.,"option : A tiger, option : A gorilla, option : A bear"
"I live in a den, and I wear a furry suit.I like to eat fish, but also berries and fruit.I love honey more than you do.What animal am I?",A bear.,"option : A fox, option : A raccoon, option : A squirrel"
"I wear a tuxedo when I'm swimming, and I slide on my tummy across the ice.What am I?",A penguin.,"option : A dolphin, option : A seal, option : A polar bear"
"I have a mane, but I'm no lion. I wear shoes, but I'm not a human.What am I?",A horse.,"option : A zebra, option : A donkey, option : A unicorn"
"I have a lump or two on my back, and I live in the sand.I'm tough and I'll carry you over the land.What am I?",A camel.,"option : A horse, option : A donkey, option : A mule"
"I'm spotty and swift, but I'm no leopard.And no one wants to play cards with me.What am I?",A cheetah.,"option : A zebra, option : A tiger, option : A hyena"
The alphabet starts with A and ends in Z. I go the other way around.What am I?,A zebra.,"option : A lion, option : A tiger, option : A giraffe"
"I am an animal, but my name makes you think of dessert or something you might put in your hair.What am I?",A moose.,"option : A cake, option : A hairbrush, option : A chocolate"
"It takes me a couple of weeks to digest what I eat, and I'm never in a hurry.What am I?",A sloth.,"option : A snail, option : A tortoise, option : A koala"
"You may find me cute, but I'm too big for a pet.I have a long trunk, and I never forget.What am I?",An elephant.,"option : A giraffe, option : A hippopotamus, option : A rhinoceros"
What is more rewarding when it is hard and long?,An education.,"option : ""A marathon"", option : ""A puzzle"", option : ""A career"""
What do you call an unsinkable virgin?,A cherry float.,"option : A buoyant maiden, option : A resilient pure, option : A steadfast chaste"
"I am long, you move me around with your lips and tongue, I get wet with saliva and I get sucked. What am I?",A straw.,"option : A toothbrush, option : A pen, option : A spoon"
"If I miss, I hit your bush. It's my job to stuff your box. When I come, it's news. What am I?",A newspaper delivery person.,"option : A mail carrier, option : A pizza delivery person, option : A garbage collector"
I work with briefs and I'm amazing when using my mouth. What am I?,A lawyer.,"option : A dentist, option : A singer, option : A chef"
Why is a happy sex life like a good steak?,Because it's rare!,"option : Because it's juicy!, option : Because it's well-done!, option : Because it's satisfying!"
Set me to vibrate when you want some alone time. What am I?,A cell phone.,"option : A wristwatch, option : A blender, option : A toaster"
"I once let over 1000 different people inside me, until I was ripped open by something long and hard. What am I?",The Titanic.,"option : The Great Wall of China, option : The Eiffel Tower, option : The Statue of Liberty"
I absolutely love holding your buns all day. What am I?,A hair tie.,"option : A sandwich, option : A pillow, option : A baseball glove"
I drip when you take me in the mouth. What am I?,Ice-cream.,"option : Water, option : Lemonade, option : Popsicle"
What gets wetter when things get steamy?,Steamboats.,"option : Raincoats, option : Umbrellas, option : Showers"
"Every man has me. I'm a word that begins with the letter ""P"" and for me to grow, I need stimulation. What am I?",The pupils of his eye.,"option : The petals of a flower, option : The power of love, option : The passion of a dream"
"You use your hand to whack me off, the bigger I am, the louder I make people scream. What am I?",A spider.,"option : A snake, option : A lion, option : A thunderstorm"
"I am a five letters word starting with ""P"". Women really love to get their hands on me. What am I?",Purse.,"option : Wallet, option : Handbag, option : Clutch"
"I am dirty, I love being filled with wood, but someone only goes down on me once a year. What am I?",A fireplace.,"option : A chimney, option : A grill, option : A bonfire"
"Some people prefer being on top, others prefer being on the bottom, and it always involves a bed. What is it?",A bunk bed.,"option : A hammock, option : A sleeping bag, option : A futon"
What does a man have in his trousers that a lady doesn't want on her face?,Wrinkles.,"option : Mustache, option : Beard, option : Acne"
What do men keep in their pants that their partners sometimes blow?,Money.,"option : Wallet, option : Keys, option : Phone"
I have a stiff shaft. My tip penetrates. I come with a quiver. What am I?,An arrow.,"option : A pencil, option : A screwdriver, option : A knitting needle"
What is super hard and goes into a tiny hole?,A key.,"option : A rock, option : A brick, option : A hammer"
You have to blow it to play with it. What is it?,A balloon.,"option : A whistle, option : A trumpet, option : A harmonica"
What's long and hard and has the word 'cum' in it?,A cucumber.,"option : A column, option : A curriculum, option : A cumulus"
"What is six inches long, sweet on the lips, and goes down better with butter?",Corn on the cob.,"option : Carrot, option : Banana, option : Ice cream cone"
What do you insert in a small hole and twist all the way around?,A Q-tip.,"option : A key, option : A screwdriver, option : A pencil"
You can't taste it unless you undress it. What is it?,A banana.,"option : An apple, option : A watermelon, option : A carrot"
You play with it at night and it vibrates. What is it?,A cell phone.,"option : A toothbrush, option : A game controller, option : A blender"
"What's at least six inches long, goes in your mouth, and is more fun when it vibrates?",An electric toothbrush.,"option : A pencil, option : A spoon, option : A lollipop"
"I go in hard, come out soft, and you love to blow me. What am I?",Chewing gum.,"option : Bubble gum, option : Cotton candy, option : Marshmallow"
I am always hard when dry but smooth and soft when wet. What am I?,Sponge.,"option : Rock, option : Sand, option : Paper"
What's long and hard when it's young and soft and small when it's old?,A candle.,"option : A tree, option : A pencil, option : A snake"
What does a woman have two of that a cow has four of?,Legs.,"option : Arms, option : Ears, option : Eyes"
"What's white, sticky, and better to spit than to swallow?",Toothpaste.,"option : Glue, option : Marshmallow, option : Yogurt"
"What's made of rubber, handed out at some schools, and exists to prevent mistakes?",Erasers.,"option : Pencils, option : Chalk, option : Whiteout"
I'm great for protection. You use your fingers to get me off. What am I?,Gloves.,"option : Socks, option : Hat, option : Sunglasses"
"What gets longer if pulled, fits snugly between breasts, slides neatly into a hole, chokes people when used incorrectly, and works well when jerked?",A seatbelt.,"option : A shoelace, option : A necklace, option : A scarf"
"What's beautiful and natural, but gets prickly if it isn't trimmed regularly?",The lawn.,"option : The rose bush, option : The cactus, option : The hedge"
"I assist with erections. Sometimes, giant balls hang from me. I'm known as a big swinger. What am I?",A crane.,"option : A construction worker, option : A flagpole, option : A trapeze artist"
"When I go in, I can cause some pain. I'll fill your holes when you ask me to. I also ask that you spit and not swallow. What am I?",Your dentist.,"option : Toothpaste, option : Floss, option : Mouthwash"
"I start with a ""p"" and end with ""o-r-n."" I'm a major player in the film industry. What am I?",Popcorn.,"option : Butter, option : Movie, option : Actor"
I'm spread out before being eaten. Your tongue gets me off. Sometimes people lick my nuts. What am I?,Peanut butter.,"option : Almond butter, option : Cashew butter, option : Hazelnut butter"
All day long it's in and out. I discharge loads from my shaft. Both men and women go down on me. What am I?,An elevator.,"option : A train, option : A roller coaster, option : A water slide"
"What four-letter word begins with ""f"" and ends with ""k,"" and if you can't get it you can always just use your hands?",A fork.,"option : ""A duck"", option : ""A desk"", option : ""A book"""
"I come in a lot of different sizes. Sometimes, I drip a little. If you blow me, it feels really good. What am I?",Your nose.,"option : A faucet, option : A leaky pipe, option : A water droplet"
"What's a four-letter word that ends in ""k"" and means the same as intercourse?",Talk.,"option : Speak, option : Chat, option : Converse"
What is more rewarding when it is hard and long?,An education.,"option : ""A marathon"", option : ""A puzzle"", option : ""A career"""
What do you call an unsinkable virgin?,A cherry float.,"option : A buoyant maiden, option : A resilient pure, option : A steadfast chaste"
"I am long, you move me around with your lips and tongue, I get wet with saliva and I get sucked. What am I?",A straw.,"option : A toothbrush, option : A pen, option : A spoon"
"If I miss, I hit your bush. It's my job to stuff your box. When I come, it's news. What am I?",A newspaper delivery person.,"option : A mail carrier, option : A pizza delivery person, option : A garbage collector"
I work with briefs and I'm amazing when using my mouth. What am I?,A lawyer.,"option : A dentist, option : A singer, option : A chef"
Why is a happy sex life like a good steak?,Because it's rare!,"option : Because it's juicy!, option : Because it's well-done!, option : Because it's satisfying!"
Set me to vibrate when you want some alone time. What am I?,A cell phone.,"option : A wristwatch, option : A blender, option : A toaster"
"I once let over 1000 different people inside me, until I was ripped open by something long and hard. What am I?",The Titanic.,"option : The Great Wall of China, option : The Eiffel Tower, option : The Statue of Liberty"
I absolutely love holding your buns all day. What am I?,A hair tie.,"option : A sandwich, option : A pillow, option : A baseball glove"
I drip when you take me in the mouth. What am I?,Ice-cream.,"option : Popsicle, option : Milkshake, option : Slushie"
What gets wetter when things get steamy?,Steamboats.,"option : Raincoats, option : Umbrellas, option : Showers"
"Every man has me. I'm a word that begins with the letter ""P"" and for me to grow, I need stimulation. What am I?",The pupils of his eye.,"option : The petals of a flower, option : The power of love, option : The passion of a dream"
"You use your hand to whack me off, the bigger I am, the louder I make people scream. What am I?",A spider.,"option : A snake, option : A lion, option : A thunderstorm"
"I am a five letters word starting with ""P"". Women really love to get their hands on me. What am I?",Purse.,"option : Phone, option : Perfume, option : Pillow"
"I am dirty, I love being filled with wood, but someone only goes down on me once a year. What am I?",A fireplace.,"option : A chimney, option : A grill, option : A bonfire"
"Some people prefer being on top, others prefer being on the bottom, and it always involves a bed. What is it?",A bunk bed.,"option : A hammock, option : A sleeping bag, option : A futon"
What does a man have in his trousers that a lady doesn't want on her face?,Wrinkles.,"option : Mustache, option : Beard, option : Acne"
What do men keep in their pants that their partners sometimes blow?,Money.,"option : Wallet, option : Keys, option : Phone"
I have a stiff shaft. My tip penetrates. I come with a quiver. What am I?,An arrow.,"option : A pencil, option : A screwdriver, option : A knitting needle"
What is super hard and goes into a tiny hole?,A key.,"option : A rock, option : A brick, option : A hammer"
You have to blow it to play with it. What is it?,A balloon.,"option : A whistle, option : A trumpet, option : A harmonica"
What's long and hard and has the word 'cum' in it?,A cucumber.,"option : A column, option : A curriculum, option : A cumulus"
"What is six inches long, sweet on the lips, and goes down better with butter?",Corn on the cob.,"option : Carrot, option : Banana, option : Ice cream cone"
What do you insert in a small hole and twist all the way around?,A Q-tip.,"option : A key, option : A screwdriver, option : A pencil"
