,question,choice_list,choice_order
57,"You've got a sack of corn, a chicken, and a fox. You have to cross a river, but you can only carry them one at a time. If you leave the chicken with the sack of corn, the chicken will eat the corn. If you leave the fox alone with the chicken, the fox will eat the bird.How can you get all three things across the river safely?","['Cross the river with the chicken, then go back and carry the fox over the river. However, instead of leaving the fox with the chicken, return together with the fox. Cross the river for the third time with the corn, leaving the fox behind. Leave the corn with the chicken, and return for the last time to get the fox.', 'Cross the river with the corn, then go back and carry the chicken over the river. However, instead of leaving the chicken with the corn, return together with the chicken. Cross the river for the third time with the fox, leaving the chicken behind. Leave the fox with the corn, and return for the last time to get the chicken.', 'Cross the river with the chicken, then go back and carry the corn over the river. However, instead of leaving the corn with the bird, return together with the chicken. Cross the river for the third time with the fox, leaving the chicken behind. Leave the fox with the sack of corn, and return for the last time to get the chicken. Done!', 'Cross the river with the fox, then go back and carry the chicken over the river. However, instead of leaving the chicken with the fox, return together with the fox. Cross the river for the third time with the corn, leaving the fox behind. Leave the corn with the chicken, and return for the last time to get the fox.']",[2]
58,What do you call a three-humped camel?,"['Bumpy', 'Pregnant.', 'Unique', 'Triplet']",[1]
59,"You enter a room and notice a bed. There are 3 dogs, 2 cats, 1 goat, 4 crows, and a goose on the bed. In addition, 3 sparrows are flying around the bed.How many LEGS are there on the floor?","['here are 10 legs on the floor', 'here are 12 legs on the floor', 'There are 6 legs on the floor.', 'here are 14 legs on the floor']",[2]
60,What lives in a tiny house all alone?,"['A spider in a web', 'A baby chick in an egg.', 'A mouse in a hole', 'A bird in a nest']",[1]
61,"My first letter is in sea but not in ocean,The second is in change but not in motion.My third letter in boat but never in ship,And the fourth is in travel as well as in trip.The fifth letter is in dark but not in caves,And my whole is a triangle popping up from the waves.  What am I?","['A turtle', 'A shark.', 'A whale', 'A dolphin']",[1]
62,"My first letter is in cloud, but never in sky.The second is in roll but not in lie,My third letter is in water but not in trees.My whole makes you milk, kefir, and cheese.What am I?","['A goat', 'A sheep', 'A pig', 'A cow.']",[3]
63,"My first letter is in follow but not in lead, and the second is in write but not in read.My third letter is in sky but not in cloud, my fourth is in humble but not in proud.My all makes circles in a bowl, or lies on a plate cooked up whole.What am I?","['A fish.', 'A tree', 'A bird', 'A rock']",[0]
64,"I sizzle like bacon, but I hatched from an egg,I expand when I eat, and I have no legs.What am I?","['A turtle', 'A snake.', 'A lizard', 'A caterpillar']",[1]
65,"I have got a crown like a king, but I'm a disgrace when I sing.There are fewer eyes on my face than my tail, but only when I'm a male.What am I?","['A parrot', 'A lion', 'A peacock.', 'A rooster']",[2]
66,"I'm the opposite of a dog, but I'm not a god.I move my tail when I'm mad and growl when I'm pleased.What am I?","['A cat.', 'A bird', 'A cow', 'A snake']",[0]
67,I feed on leaves from treetops but my feet never leave the earth.What am I?,"['A giraffe.', 'A panda', 'A sloth', 'A koala']",[0]
68,"I go to school all my life, and I never leave the water, even though I breathe air. What am I?","['A turtle', 'A whale', 'A fish', 'A dolphin.']",[3]
69,"I often join you at parties and holidays, but I never get to enjoy them.What am I?","['A turkey.', 'A piñata', 'A balloon', 'A present']",[0]
70,I grow from egg to fish to creature.I burp when I talk and I jump when as I walk.What am I?,"['A frog.', 'A tadpole', 'A snake', 'A lizard']",[0]
71,"I have no legs, eyes, or nose, but if you give me enough time, I can move the earth.What am I?","['A worm.', 'A mole', 'A snail', 'A caterpillar']",[0]
72,I have black circles around my eyes - even when I'm not exhausted.What am I?,"['A panda.', 'A raccoon', 'A zebra', 'A skunk']",[0]
73,Play me with a ball and bat. Or hear me sing in a tophat.What am I?,"['A magician', 'A baseball', 'A cricket.', 'A bird']",[2]
74,"Alive without breath, as cold as death.All in mail never clinking.Never thirsty, ever drinking.What am I?","['A rock', 'A tree', 'A ghost', 'A fish.']",[3]
75,"Born in water, I drown in water.A blood-thirsty beast you can barely see.What am I?","['A jellyfish', 'A leech', 'A mosquito.', 'A vampire bat']",[2]
76,"As small as your thumb, I am light in the air.You may hear me before you see me, But trust me, I'm there.What am I?","['A hummingbird.', 'A mosquito', 'A dragonfly', 'A butterfly']",[0]
77,"I have a face like a tree and skin like the sea.A great beast I am, yet small vermin frighten me.What am I?","['A whale', 'A crocodile', 'A lion', 'An elephant.']",[3]
78,"I create my lair with earthen string,And dispatch my prey with a biting sting.What am I?","['A wasp', 'A scorpion', 'A snake', 'A spider.']",[3]
79,"I had no father, only a grandfather... I shall bear no sons, only daughters.What am I?","['A bird', 'A bee.', 'A flower', 'A tree']",[1]
80,I plow and plow but never sow.What am I?,"['A pig.', 'A shovel', 'A plow horse', 'A tractor']",[0]
81,"I have four legs but no tail. Usually, I am heard only at night.What am I?","['A bat', 'A owl', 'A cricket', 'A frog.']",[3]
82,"What is that which, while it lives, constantly changes its habit, That is buried before it is dead, and whose tomb is valued wherever it is found?","['A silkworm.', 'A caterpillar', 'A chameleon', 'A butterfly']",[0]
83,"My first letter is in window but not in pane.My second's in road but not in lane.My third is in oval but not in round.My fourth is in hearing but not in sound.My whole is known as a sign of peace.And from Noah's Ark, I won quick release.What am I?","['A dove.', 'A sparrow', 'A pigeon', 'A seagull']",[0]
84,"A prickly house a little host contains.The pointed weapons keep back from pains,So he, unarmed, safe in his fort remains.Who is he?","['A porcupine', 'A sea urchin', 'A cactus', 'A hedgehog.']",[3]
85,What can honk without a horn?,"['A train', 'A car', 'A goose.', 'A bicycle']",[2]
86,"I am an insect, and the first part of my name is another insect.What insect am I?","['A ladybug', 'A mosquito', 'A butterfly', 'A beetle.']",[3]
87,My first letter is in ocean but never in sea.My second's in wasp but never in bee.My third is in glider and also in flight.My whole is a creature that comes out at night.What am I?,"['An owl.', 'A bat', 'A wolf', 'A moth']",[0]
88,"Oh, how I love my dancing feet!They stay together - oh so neat.And when I want to walk a line,They all stay together and do double time.I count them up, ten times or more,And race on-off, across the floor.","['A millipede', 'A centipede.', 'A spider', 'A caterpillar']",[1]
89,"I can jump, I can swim,I swing from tree to tree.And I can also weave a houseThat's much bigger than me.What am I?","['A squirrel', 'A spider.', 'A monkey', 'A bird']",[1]
90,"It can be in a hat,Or out of the bag.If you see it you'll be smitten,'Cause it's fluffy like a mitten.What is it?","['A rabbit', 'A dog', 'A cat.', 'A teddy bear']",[2]
91,"It's small but larger than a bee,And agile as a flea.It hums but does not buzz,And it's not covered with fuzz.It is a small collectorOr juicy flower nectar,What is it?","['A dragonfly', 'A mosquito', 'A hummingbird.', 'A butterfly']",[2]
92,"It can be white, blue, or black,Humped or have a horn.And when it talks, it sings its minuets,As it's traveling the depths.What is it?","['A narwhal', 'A whale.', 'A dolphin', 'A seahorse']",[1]
93,"I have no sword, I have no spear,Yet rule a horde that many fear,My soldiers fight with a wicked sting,I rule with might, yet I'm no king.What am I?","['A general', 'A dictator', 'A lion', 'A queen bee.']",[3]
94,"The cow is my cousin.If you see my name, you'll understand why.What am I?","['A buffalo', 'A horse', 'A moose.', 'A deer']",[2]
95,"What has armor but is not a knight,Snaps but is not a twig,And is always at homeEven on the move?","['A crab', 'A pangolin', 'A turtle.', 'A armadillo']",[2]
96,"If a man could carry my burden, he would break his back.I am not rich, but leave silver in my track.What am I?","['A mountain', 'A turtle', 'A backpack', 'A snail.']",[3]
97,"I hang upside-down on trees.I'm the opposite of busy bees.I sleep and sleep, I'm very slow, and on each footI have three toes.What am I?","['A monkey', 'A sloth.', 'A bat', 'A koala']",[1]
98,"I am both a bird and a kind of fruit, and I can even be a person.What am I?","['Pineapple', 'Mango', 'Kiwi.', 'Banana']",[2]
99,"You say ""hey."" I'll eat it.I say ""neigh.""What am I?","['A dog', 'A horse.', 'A cow', 'A cat']",[1]
100,"My start goes on toast, and my end's how birds move.My baby eats leaves, whereas I drink flowers.","['Butterfly.', '""Ladybug""', '""Dragonfly""', '""Caterpillar""']",[0]
101,"Cupid without a bow.Donner with no kebab.One who dances, one who prances, all dragging present-giving dad.What am I?","['A sleigh', 'A reindeer.', 'A Christmas tree', 'A snowman']",[1]
102,I've got a hole in my back and legs I lack.I live where I can't breathe and I eat without teeth.What am I?,"['A whale.', 'A dolphin', 'A shark', 'A fish']",[0]
103,"When I walk, I jump, and when I stand, I sit.What animal am I?","['A rabbit', 'A kangaroo.', 'A grasshopper', 'A frog']",[1]
104,I peel like an onion yet remain whole.Which mystery creature am I?,"['A lizard.', 'A chameleon', 'A turtle', 'A snake']",[0]
105,"I walk on silken strings and catch all sorts of things.When you find my home, I am gone.What am I?","['A spider.', 'A fish', 'A butterfly', 'A bird']",[0]
106,I'm the only known mammal incapable of jumping. That's because I'm very large.What animal am I?,"['Rhino', 'Giraffe', 'An elephant.', 'Hippopotamus']",[2]
107,"My field of vision is 270 degrees, and I'm quiet and sneaky like a ninja when I hunt for my prey.What bird am I?","['A falcon', 'A vulture', 'An owl.', 'A hawk']",[2]
108,"I was born small and pink, but then I grew big and black and white.I'm lazy to cook, so all I eat is bamboo.What animal am I?","['A koala', 'A polar bear', 'A zebra', 'A panda.']",[3]
109,"I've got horns, but I can't honk.Instead, I bleat, but I'm no sheep.What am I?","['A goat', 'A deer', 'A cow', 'A horse']",[0]
110,"I hover and zip through the air with a dazzling flare.I move from flower to flower, humming a tune, but I'm no insect.What am I?","['A butterfly', 'A dragonfly', 'A hummingbird.', 'A bumblebee']",[2]
111,"I am a king, and the jungle is my kingdom.I have a lush mane, and I'm tough to train.What am I?","['A lion.', 'A bear', 'A gorilla', 'A tiger']",[0]
112,"I live in a den, and I wear a furry suit.I like to eat fish, but also berries and fruit.I love honey more than you do.What animal am I?","['A bear.', 'A fox', 'A raccoon', 'A squirrel']",[0]
113,"I wear a tuxedo when I'm swimming, and I slide on my tummy across the ice.What am I?","['A penguin.', 'A polar bear', 'A seal', 'A dolphin']",[0]
114,"I have a mane, but I'm no lion. I wear shoes, but I'm not a human.What am I?","['A donkey', 'A unicorn', 'A zebra', 'A horse.']",[3]
115,"I have a lump or two on my back, and I live in the sand.I'm tough and I'll carry you over the land.What am I?","['A camel.', 'A mule', 'A donkey', 'A horse']",[0]
116,"I'm spotty and swift, but I'm no leopard.And no one wants to play cards with me.What am I?","['A tiger', 'A hyena', 'A zebra', 'A cheetah.']",[3]
117,The alphabet starts with A and ends in Z. I go the other way around.What am I?,"['A tiger', 'A giraffe', 'A zebra.', 'A lion']",[2]
118,"I am an animal, but my name makes you think of dessert or something you might put in your hair.What am I?","['A hairbrush', 'A cake', 'A chocolate', 'A moose.']",[3]
119,"It takes me a couple of weeks to digest what I eat, and I'm never in a hurry.What am I?","['A tortoise', 'A koala', 'A sloth.', 'A snail']",[2]
120,"You may find me cute, but I'm too big for a pet.I have a long trunk, and I never forget.What am I?","['A giraffe', 'A hippopotamus', 'A rhinoceros', 'An elephant.']",[3]
121,What is more rewarding when it is hard and long?,"['""A puzzle""', '""A career""', '""A marathon""', 'An education.']",[3]
122,What do you call an unsinkable virgin?,"['A buoyant maiden', 'A cherry float.', 'A resilient pure', 'A steadfast chaste']",[1]
123,"I am long, you move me around with your lips and tongue, I get wet with saliva and I get sucked. What am I?","['A spoon', 'A pen', 'A straw.', 'A toothbrush']",[2]
124,"If I miss, I hit your bush. It's my job to stuff your box. When I come, it's news. What am I?","['A mail carrier', 'A newspaper delivery person.', 'A garbage collector', 'A pizza delivery person']",[1]
125,I work with briefs and I'm amazing when using my mouth. What am I?,"['A dentist', 'A singer', 'A lawyer.', 'A chef']",[2]
126,Why is a happy sex life like a good steak?,"[""Because it's well-done!"", ""Because it's satisfying!"", ""Because it's juicy!"", ""Because it's rare!""]",[3]
127,Set me to vibrate when you want some alone time. What am I?,"['A toaster', 'A wristwatch', 'A blender', 'A cell phone.']",[3]
128,"I once let over 1000 different people inside me, until I was ripped open by something long and hard. What am I?","['The Statue of Liberty', 'The Eiffel Tower', 'The Great Wall of China', 'The Titanic.']",[3]
129,I absolutely love holding your buns all day. What am I?,"['A hair tie.', 'A sandwich', 'A pillow', 'A baseball glove']",[0]
130,I drip when you take me in the mouth. What am I?,"['Lemonade', 'Ice-cream.', 'Popsicle', 'Water']",[1]
131,What gets wetter when things get steamy?,"['Raincoats', 'Umbrellas', 'Showers', 'Steamboats.']",[3]
132,"Every man has me. I'm a word that begins with the letter ""P"" and for me to grow, I need stimulation. What am I?","['The petals of a flower', 'The power of love', 'The pupils of his eye.', 'The passion of a dream']",[2]
133,"You use your hand to whack me off, the bigger I am, the louder I make people scream. What am I?","['A thunderstorm', 'A spider.', 'A lion', 'A snake']",[1]
134,"I am a five letters word starting with ""P"". Women really love to get their hands on me. What am I?","['Purse.', 'Wallet', 'Handbag', 'Clutch']",[0]
135,"I am dirty, I love being filled with wood, but someone only goes down on me once a year. What am I?","['A bonfire', 'A chimney', 'A grill', 'A fireplace.']",[3]
136,"Some people prefer being on top, others prefer being on the bottom, and it always involves a bed. What is it?","['A hammock', 'A sleeping bag', 'A futon', 'A bunk bed.']",[3]
137,What does a man have in his trousers that a lady doesn't want on her face?,"['Beard', 'Acne', 'Mustache', 'Wrinkles.']",[3]
138,What do men keep in their pants that their partners sometimes blow?,"['Wallet', 'Money.', 'Phone', 'Keys']",[1]
139,I have a stiff shaft. My tip penetrates. I come with a quiver. What am I?,"['A pencil', 'A screwdriver', 'An arrow.', 'A knitting needle']",[2]
140,What is super hard and goes into a tiny hole?,"['A rock', 'A brick', 'A key.', 'A hammer']",[2]
141,You have to blow it to play with it. What is it?,"['A harmonica', 'A whistle', 'A trumpet', 'A balloon.']",[3]
142,What's long and hard and has the word 'cum' in it?,"['A cumulus', 'A cucumber.', 'A curriculum', 'A column']",[1]
143,"What is six inches long, sweet on the lips, and goes down better with butter?","['Corn on the cob.', 'Ice cream cone', 'Banana', 'Carrot']",[0]
144,What do you insert in a small hole and twist all the way around?,"['A key', 'A screwdriver', 'A Q-tip.', 'A pencil']",[2]
145,You can't taste it unless you undress it. What is it?,"['A carrot', 'A banana.', 'A watermelon', 'An apple']",[1]
146,You play with it at night and it vibrates. What is it?,"['A blender', 'A game controller', 'A cell phone.', 'A toothbrush']",[2]
147,"What's at least six inches long, goes in your mouth, and is more fun when it vibrates?","['A pencil', 'A lollipop', 'An electric toothbrush.', 'A spoon']",[2]
148,"I go in hard, come out soft, and you love to blow me. What am I?","['Bubble gum', 'Chewing gum.', 'Cotton candy', 'Marshmallow']",[1]
149,I am always hard when dry but smooth and soft when wet. What am I?,"['Sponge.', 'Sand', 'Rock', 'Paper']",[0]
150,What's long and hard when it's young and soft and small when it's old?,"['A pencil', 'A tree', 'A snake', 'A candle.']",[3]
151,What does a woman have two of that a cow has four of?,"['Ears', 'Legs.', 'Eyes', 'Arms']",[1]
152,"What's white, sticky, and better to spit than to swallow?","['Marshmallow', 'Glue', 'Toothpaste.', 'Yogurt']",[2]
153,"What's made of rubber, handed out at some schools, and exists to prevent mistakes?","['Chalk', 'Pencils', 'Whiteout', 'Erasers.']",[3]
154,I'm great for protection. You use your fingers to get me off. What am I?,"['Socks', 'Gloves.', 'Sunglasses', 'Hat']",[1]
155,"What gets longer if pulled, fits snugly between breasts, slides neatly into a hole, chokes people when used incorrectly, and works well when jerked?","['A scarf', 'A shoelace', 'A necklace', 'A seatbelt.']",[3]
156,"What's beautiful and natural, but gets prickly if it isn't trimmed regularly?","['The hedge', 'The cactus', 'The rose bush', 'The lawn.']",[3]
157,"I assist with erections. Sometimes, giant balls hang from me. I'm known as a big swinger. What am I?","['A trapeze artist', 'A flagpole', 'A crane.', 'A construction worker']",[2]
158,"When I go in, I can cause some pain. I'll fill your holes when you ask me to. I also ask that you spit and not swallow. What am I?","['Mouthwash', 'Your dentist.', 'Toothpaste', 'Floss']",[1]
159,"I start with a ""p"" and end with ""o-r-n."" I'm a major player in the film industry. What am I?","['Movie', 'Popcorn.', 'Actor', 'Butter']",[1]
160,I'm spread out before being eaten. Your tongue gets me off. Sometimes people lick my nuts. What am I?,"['Hazelnut butter', 'Peanut butter.', 'Almond butter', 'Cashew butter']",[1]
161,All day long it's in and out. I discharge loads from my shaft. Both men and women go down on me. What am I?,"['A roller coaster', 'A train', 'An elevator.', 'A water slide']",[2]
162,"What four-letter word begins with ""f"" and ends with ""k,"" and if you can't get it you can always just use your hands?","['""A book""', '""A duck""', 'A fork.', '""A desk""']",[2]
163,"I come in a lot of different sizes. Sometimes, I drip a little. If you blow me, it feels really good. What am I?","['A water droplet', 'A leaky pipe', 'A faucet', 'Your nose.']",[3]
164,"What's a four-letter word that ends in ""k"" and means the same as intercourse?","['Speak', 'Converse', 'Talk.', 'Chat']",[2]
165,What is more rewarding when it is hard and long?,"['An education.', '""A career""', '""A marathon""', '""A puzzle""']",[0]
166,What do you call an unsinkable virgin?,"['A resilient pure', 'A buoyant maiden', 'A steadfast chaste', 'A cherry float.']",[3]
167,"I am long, you move me around with your lips and tongue, I get wet with saliva and I get sucked. What am I?","['A straw.', 'A toothbrush', 'A pen', 'A spoon']",[0]
168,"If I miss, I hit your bush. It's my job to stuff your box. When I come, it's news. What am I?","['A mail carrier', 'A pizza delivery person', 'A newspaper delivery person.', 'A garbage collector']",[2]
169,I work with briefs and I'm amazing when using my mouth. What am I?,"['A singer', 'A chef', 'A dentist', 'A lawyer.']",[3]
170,Why is a happy sex life like a good steak?,"[""Because it's juicy!"", ""Because it's rare!"", ""Because it's well-done!"", ""Because it's satisfying!""]",[1]
171,Set me to vibrate when you want some alone time. What am I?,"['A toaster', 'A blender', 'A wristwatch', 'A cell phone.']",[3]
172,"I once let over 1000 different people inside me, until I was ripped open by something long and hard. What am I?","['The Titanic.', 'The Great Wall of China', 'The Statue of Liberty', 'The Eiffel Tower']",[0]
