riddle,choice0,choice1,choice2,choice3,(index of correct choice)
"My first may end a game when it depletes.My second, a written contract completes.My whole indicates the number of beats. What am I?",lamp,spiral staircase,chord progression,time signature,3
This is an area in the house. That has a mirror on the wall. It is where you get cleaned up so you. Can be the fairest of them all. What is it?,surprise,bathroom,washroom,restroom,1
This is an area in the house. That has a mirror on the wall. It is where you get cleaned up so you. Can be the fairest of them all. What is it?,surprise,truth,restroom,bathroom,3
what's the only thing you know for sure is going to happen?,crying,dying,killing,meteor,1
what's the only thing you know for sure is going to happen?,killing,crying,helicopter,dying,3
I was born in Italy then I moved to France.I am only half figured so I cannot dance.I keep my right hand snug over my left wrist.I have an enigmatic smile though I cannot kiss.If you measure my height I'm only seventy seven.I have an Oscar thanks to Livingston and Evans.I lived with Napoleon but that was not fun.Cole put me on the Billboard eight weeks number one.Who am I?,Mona Lisa,Picasso,Mozart,coffee,0
I was born in Italy then I moved to France.I am only half figured so I cannot dance.I keep my right hand snug over my left wrist.I have an enigmatic smile though I cannot kiss.If you measure my height I'm only seventy seven.I have an Oscar thanks to Livingston and Evans.I lived with Napoleon but that was not fun.Cole put me on the Billboard eight weeks number one.Who am I?,Mozart,Mona Lisa,Picasso,strawberry,1
Gumby and yoga instructors have this in common.,aluminum,versatile,flexible,durable,2
Gumby and yoga instructors have this in common.,aluminum,flexible,versatile,wood,1
What is weightless but takes two people to hold it?,relationship,marriage,friendship,romantic feelings,2
What is weightless but takes two people to hold it?,affection,relationship,friendship,romantic feelings,2
"Big Square Bag of Mr. Jacob, to use it, you have to turn it upside down.",mosquito net,sleeping bag,lightning,tent,0
"Big Square Bag of Mr. Jacob, to use it, you have to turn it upside down.",tent,flammable,sleeping bag,mosquito net,3
What car does a belly button drive?,Audi,Honda,spectacle,theater,0
What car does a belly button drive?,Toyota,spectacle,Audi,Honda,2
"A river that flows from Colorado to the Gulf.I have a Mexican name. At 1,800 miles long I am one of the principal rivers of North America.I am not the Mississippi.What am I?",Nordeste,Brasil,Rio Grande,arithmetic,2
"A river that flows from Colorado to the Gulf.I have a Mexican name. At 1,800 miles long I am one of the principal rivers of North America.I am not the Mississippi.What am I?",dividend,arithmetic,Brasil,Rio Grande,3
What a South American might say to a friend as they depart.,skittles,stfu,hola,adios,3
What a South American might say to a friend as they depart.,adios,cereal,stfu,skittles,0
What's new but never old? What's full but never empty? What goes forward but never back?,jupiter,asteroid,moon,sun,2
What's new but never old? What's full but never empty? What goes forward but never back?,moon,jupiter,sun,orbit,0
What animal has feet on the head?,lice,fungus,dandruff,rabies,0
What animal has feet on the head?,fungus,dandruff,lice,germs,2
"Riddle me this. Alive without breath. As cold as death. Never thirsty, Ever drinking. Clad in mail, Never clinking. Drowns on dry land. Thinks an island, Is a mountain. Thinks a fountain, Is a puff of air. What am I?",shrimp,salmon,tuna,fish,3
"Riddle me this. Alive without breath. As cold as death. Never thirsty, Ever drinking. Clad in mail, Never clinking. Drowns on dry land. Thinks an island, Is a mountain. Thinks a fountain, Is a puff of air. What am I?",tuna,shrimp,crab,fish,3
"I eat, I breathe, I move so much.I leave you tender to the touch. Within me lies help or harm for you.But one rarely predicts what I will do. I move around, yet have no legs.and multiply, but lay no eggs. My colors change as I get intense.But I keep no form, in my defense. What am I?",lightning,flamethrower,blood,fire,3
"I eat, I breathe, I move so much.I leave you tender to the touch. Within me lies help or harm for you.But one rarely predicts what I will do. I move around, yet have no legs.and multiply, but lay no eggs. My colors change as I get intense.But I keep no form, in my defense. What am I?",flammable,flamethrower,lightning,fire,3
"Alive as you but without breath, As cold in my life as in my death; Never a thirst though I always drink, Dressed in a mail but never a clink.",salmon,shrimp,tuna,fish,3
"Alive as you but without breath, As cold in my life as in my death; Never a thirst though I always drink, Dressed in a mail but never a clink.",shrimp,tuna,fish,crab,2
"I start the day small and round. Buried alive without a frown. I am fed and nourished where I stay, slowly growing in a patient way. Finally I break through my dark brown cage. Reaching towards a puffy lane. But I will never be truly free, from the cage that always binds me What am I?",T-rex,seed,home court advantage,cartoon,1
"I start the day small and round. Buried alive without a frown. I am fed and nourished where I stay, slowly growing in a patient way. Finally I break through my dark brown cage. Reaching towards a puffy lane. But I will never be truly free, from the cage that always binds me What am I?",sapling,seed,cartoon,T-rex,1
What do you call a wild card?,helicopter,meteor,Bruce Wayne,Joker,3
What do you call a wild card?,Bruce Wayne,Batman,Joker,helicopter,2
"What has a head, but can't think. And has no limbs but can drive.",bow,axe,sword,hammer,3
"What has a head, but can't think. And has no limbs but can drive.",sword,hammer,axe,bolt,1
I am used to the cold and I am a big thing.What am I?,moon,asteroid,galaxy,planet,3
I am used to the cold and I am a big thing.What am I?,asteroid,moon,earth,planet,3
What has six faces and twenty-one eyes?,die,kill,helicopter,meteor,0
What has six faces and twenty-one eyes?,meteor,kill,die,wanna,2
"I am the future, all eventual decay; In death and destruction, I lay. Your habits of order to prevent my disorder, Only hasten my final hooray. What am I?",heat death,equator,Antarctica,entropy,3
"I am the future, all eventual decay; In death and destruction, I lay. Your habits of order to prevent my disorder, Only hasten my final hooray. What am I?",equator,heat death,dark energy,entropy,3
"Cute, cuddly canine children.",puppy,dog,kitten,bulldog,0
"Cute, cuddly canine children.",puppy,bulldog,cat,kitten,0
What kind of tree can you carry in your hand?,palm,forearm,fist,thigh,0
What kind of tree can you carry in your hand?,forearm,fist,forehead,palm,3
"""What goes on four feet in the morning, two feet at noon, and three feet in the evening?""  """,alien,human,sentient,lizard,1
"""What goes on four feet in the morning, two feet at noon, and three feet in the evening?""  """,conscious,sentient,alien,human,3
"My first is a creature whose breeding is unclear. My second, a price you must pay. My whole can be found in the river of Time and refers to events of today. What am I?",current,regular,Atlantic,ocean,0
"My first is a creature whose breeding is unclear. My second, a price you must pay. My whole can be found in the river of Time and refers to events of today. What am I?",standard,current,ocean,regular,1
What did the dog say when he sat on sandpaper?,trombone,torts,ruff,woof,2
What did the dog say when he sat on sandpaper?,flute,woof,trombone,ruff,3
What is a cheerleader's favorite cereal?,Cheerios,Oreos,cereal,Doritos,0
What is a cheerleader's favorite cereal?,Cheerios,Doritos,Oreos,skittles,0
"When you have me, you feel like sharing me. But, if you do share me, you don't have me. What am I?",truth,secret,secrecy,eg,1
"When you have me, you feel like sharing me. But, if you do share me, you don't have me. What am I?",eg,secret,surprise,truth,1
Pedro hides but his head is still exposed,tooth,nail,lightning,flammable,1
Pedro hides but his head is still exposed,lightning,wax,tooth,nail,3
I am a nut with a hole. What am I?,donut,sandwich,banana,watermelon,0
I am a nut with a hole. What am I?,banana,donut,sandwich,pretzel,1
I'm just a lot of nothing but I'm every were.  what am I?,downdraft,wig,updraft,air,3
I'm just a lot of nothing but I'm every were.  what am I?,updraft,air,downdraft,dandruff,1
"What has arms but can't hug, legs but can't run?",desk,dandruff,seat,chair,3
"What has arms but can't hug, legs but can't run?",wig,chair,dandruff,seat,1
"What is unknown and remains unsolved, The answer is there, but hidden all along, You can think and think, but it's like a puzzle, Atlantis is one - does it even exist? I seem like a giant shadow of mist, So answer me now, Do you dare to try? Tell me now, what am I?",action,mystery,surprise,suspense,1
"What is unknown and remains unsolved, The answer is there, but hidden all along, You can think and think, but it's like a puzzle, Atlantis is one - does it even exist? I seem like a giant shadow of mist, So answer me now, Do you dare to try? Tell me now, what am I?",suspense,action,mystery,truth,2
"We are just like people. We grow, we get old, we die off. We come in many different colors. Black, white, brown. We come in a army, there are thousands of us, yet we have no war. But we will still die off over the years. What am I?",wig,dandruff,hair,beard,2
"We are just like people. We grow, we get old, we die off. We come in many different colors. Black, white, brown. We come in a army, there are thousands of us, yet we have no war. But we will still die off over the years. What am I?",eyebrows,dandruff,hair,wig,2
I eat animals but I don't hunt or kill. What am I?,bird,vulture,eagle,spider,1
I eat animals but I don't hunt or kill. What am I?,vulture,spider,lizard,eagle,0
"I'll amuse you for an entire evening, But you won't remember me. What am I?",nightmare,asteroid,life goal,dream,3
"I'll amuse you for an entire evening, But you won't remember me. What am I?",dream,jupiter,asteroid,nightmare,0
Look at the numbers on my face. You won't find 13 any place. What am I?,timeout,lamp,spiral staircase,clock,3
Look at the numbers on my face. You won't find 13 any place. What am I?,clock,ticking,timeout,spiral staircase,0
"I stand with my friends, in neat array, And many people come to play. We silent are, give no offence. Yet, we're attacked, with objects, dense. Right brave we are, as teams of men.Attack our little band of ten. Though scattered often, far and wide, We stand again, in silent pride. What pleasures gain you, sons of Eve, To give my comrades cause to grieve?  Please, oh humans, have a care. Though your power can strike, it is kinder to spare. Use thy brains, oh show us how. Tell us what we are, right now!!!!",reptiles,bricks,bowling pins,bird,2
"I stand with my friends, in neat array, And many people come to play. We silent are, give no offence. Yet, we're attacked, with objects, dense. Right brave we are, as teams of men.Attack our little band of ten. Though scattered often, far and wide, We stand again, in silent pride. What pleasures gain you, sons of Eve, To give my comrades cause to grieve?  Please, oh humans, have a care. Though your power can strike, it is kinder to spare. Use thy brains, oh show us how. Tell us what we are, right now!!!!",railings,reptiles,bird,bowling pins,3
What animals do not sleep?,bull frog,wig,river otter,cassowary,0
What animals do not sleep?,bull frog,cassowary,dandruff,river otter,0
"What type of chair is electric, you can't get out of it on your own, but if someone helps you get out you're not dead?",dandruff,electric wheelchair,ambulance,wig,1
"What type of chair is electric, you can't get out of it on your own, but if someone helps you get out you're not dead?",dandruff,bicycle,wig,electric wheelchair,3
"I have bubbles, a pipe, and a mouth to drink my soap. What am I?",Twitter,bath tub,sink,swimming pool,1
"I have bubbles, a pipe, and a mouth to drink my soap. What am I?",Twitter,sink,Instagram,bath tub,3
"I'm more than a fair weather friend, On me you can depend, To hang around at least 'til summer's end. I serve your house, the store, the school, I'm liked everywhere 'cause I'm so cool. What friend is this?",wig,dandruff,Air conditioning,thermostats,2
"I'm more than a fair weather friend, On me you can depend, To hang around at least 'til summer's end. I serve your house, the store, the school, I'm liked everywhere 'cause I'm so cool. What friend is this?",thermostats,refrigerators,Air conditioning,wig,2
Johnny‘s mother had three children. The first child was named April. The second child was named May. What was the third child‘s name?,Johnny,Johny,Eddie,Jonathan,1
Johnny‘s mother had three children. The first child was named April. The second child was named May. What was the third child‘s name?,Johny,Jonathan,Johnny,Jeff,0
What do you get when you cross a roach and a rabbit?,Homer Simpson,Bugs Bunny,T-rex,cartoon,1
What do you get when you cross a roach and a rabbit?,Mickey Mouse,Homer Simpson,T-rex,Bugs Bunny,3
"What are the next 3 words in the sequence: j,f,m,a,m,j,j,a,s_,_, and _?",June,October,December,January,1
"What are the next 3 words in the sequence: j,f,m,a,m,j,j,a,s_,_, and _?",December,January,February,October,3
"I am usually in a wooden case.I can have a square or round base.I have my own set of weights.In my name, is what a child calls a parent.When you hear me, I am apparent.I am Grand. By my name, I sound old.I am in stores where I am sold.Short I am not.I usually sit in one spot",lamp,dad,grandfather,spiral staircase,2
"I am usually in a wooden case.I can have a square or round base.I have my own set of weights.In my name, is what a child calls a parent.When you hear me, I am apparent.I am Grand. By my name, I sound old.I am in stores where I am sold.Short I am not.I usually sit in one spot",grandfather,dad,spiral staircase,husband,0
Cute hares that hop and deliver eggs at Easter are called by this nickname.,cat,cartoon,bunny,puppy,2
Cute hares that hop and deliver eggs at Easter are called by this nickname.,cartoon,bunny,cat,T-rex,1
"I am neither beast nor man,  Skillet or pan.  Yet if you were to touch me, I would burn thee.",fire,blood,flamethrower,flammable,0
"I am neither beast nor man,  Skillet or pan.  Yet if you were to touch me, I would burn thee.",flamethrower,blood,lightning,fire,3
I can be straight or not.I can be flat or round.I have three layers.The rounder I am - the straighter I am.I can be a person's trademark.I can be chemically challenged,eyebrows,beard,hair,wig,2
I can be straight or not.I can be flat or round.I have three layers.The rounder I am - the straighter I am.I can be a person's trademark.I can be chemically challenged,hair,wig,beard,dandruff,0
What is stronger than glue and lasts a lifetime?,romantic feelings,friendship,marriage,relationship,1
What is stronger than glue and lasts a lifetime?,marriage,friendship,romantic feelings,affection,1
nightly they come without being fetched? What are they?,galaxies,stars,moon,kings,1
nightly they come without being fetched? What are they?,galaxies,moon,stars,sky,2
"We are all around, yet to us you are half blind. Sunlight makes us invisible, and difficult to find.",galaxies,moon,stars,kings,2
"We are all around, yet to us you are half blind. Sunlight makes us invisible, and difficult to find.",sky,stars,moon,galaxies,1
"I break knots in every strand, Helping those who have it at hand, Often found inside the spot, Where cleaning's done quite a lot. What am I?",wig,hairbrush,vibrator,dandruff,1
