riddle,choice0,choice1,choice2,choice3,(index of correct choice)
"NASA was considering sending canaries into space to study them under zero gravity. The project was scrapped when someone realized that in spite of having sufficient water supplies, they could die of dehydration within a few hours. Why?",insects,rabbits,squirrel,birds,3
"NASA was considering sending canaries into space to study them under zero gravity. The project was scrapped when someone realized that in spite of having sufficient water supplies, they could die of dehydration within a few hours. Why?",peacock,birds,rabbits,insects,1
"What weeps without eyes or eyelids, her tears rejoicing sons and fathers; and when she laughs and no tears fall, her laughter saddens all hearts?",sunset,terra,wol,cloud,3
"What weeps without eyes or eyelids, her tears rejoicing sons and fathers; and when she laughs and no tears fall, her laughter saddens all hearts?",cloud,sunset,wol,sky,0
"You walk into a room with a match, a kerosene lamp and a fireplace. Which do you light first?",knockout,main event,match,Hhh,2
"You walk into a room with a match, a kerosene lamp and a fireplace. Which do you light first?",Hhh,match,main event,pinfall,1
"Where is the AD before BC, tomorrow before yesterday, and the eight is first?",dictionary,oxford,thesaurus,definitions,0
"Where is the AD before BC, tomorrow before yesterday, and the eight is first?",dictionary,thesaurus,oxford,language,0
"I am found in a doctor's office. I hang on the wall, usually next to the blood pressure machine. I am black in color with a grey handle. The front is thin like a pen, while the back is akin to the front of a tube TV. I am an instrument, though I'm not of any use in a music band. I shine a light, magnify the surroundings, and am most commonly used in the ears, mouth, throat, eyes, and nose. What am I?",stethoscope,otoscope,x-ray,xray,1
"I am found in a doctor's office. I hang on the wall, usually next to the blood pressure machine. I am black in color with a grey handle. The front is thin like a pen, while the back is akin to the front of a tube TV. I am an instrument, though I'm not of any use in a music band. I shine a light, magnify the surroundings, and am most commonly used in the ears, mouth, throat, eyes, and nose. What am I?",otoscope,xray,audiologist,stethoscope,0
"Crown wearer, Tap dancer, One who gets dressed up. Stuffed full of cotton, Sometimes forgotten, When its owner grows up. Most often furry, Most often soft, Based on Roosevelt. Can you, pray tell, What I am?",pillow,plush toy,teddy bear,stuffed animal,2
"Crown wearer, Tap dancer, One who gets dressed up. Stuffed full of cotton, Sometimes forgotten, When its owner grows up. Most often furry, Most often soft, Based on Roosevelt. Can you, pray tell, What I am?",teddy bear,plush toy,pillow,tissue box,0
"What familiar word starts with IS, ends with AND, and has LA in the middle.",island,coast,shipwreck,boat,0
"What familiar word starts with IS, ends with AND, and has LA in the middle.",ocean,coast,boat,island,3
I bring you power. I steal your secrets. I give you air. What am I?,vegetable,flower,greenhouse,plant,3
I bring you power. I steal your secrets. I give you air. What am I?,vegetable,sunflower,greenhouse,plant,3
"I'm easy to spot, If you can feel me, Ill probably be hot, I'm the reason you can see, Without me, daylight would not be.",contradictory,sun,light,weird,2
"I'm easy to spot, If you can feel me, Ill probably be hot, I'm the reason you can see, Without me, daylight would not be.",darkness,light,contradictory,weird,1
When it's dirty this should never be aired in public.,shoulder,dryer,washer,laundry,3
When it's dirty this should never be aired in public.,shoulder,laundry,pillow,washer,1
Men in skirts blow into these.,tuba,bagpipes,kilt,electric guitar,1
Men in skirts blow into these.,kilt,bagpipes,electric guitar,flute,1
"What takes a part of your soul, but reflects you truly?",photograph,gorgeous,self-portrait,selfie,0
"What takes a part of your soul, but reflects you truly?",temperature,self-portrait,gorgeous,photograph,3
"My 5, 8, 9, 3, 2, 1 is a color or a name. My 3, 2, 5, 4, 3 is a tier. My 7, 1, 9, 10, 4 is an alternative to rock. My 6, 10, 1, 9 is to be interested. My 7, 6, 4, 5, 2 is a colander. My whole is closely watched by many.",Soap operas,sitcoms,entertainment,television,3
"My 5, 8, 9, 3, 2, 1 is a color or a name. My 3, 2, 5, 4, 3 is a tier. My 7, 1, 9, 10, 4 is an alternative to rock. My 6, 10, 1, 9 is to be interested. My 7, 6, 4, 5, 2 is a colander. My whole is closely watched by many.",sitcoms,radio,entertainment,television,3
"My 1, 6, 7, 8 can a-maize. My 5, 6, 9, 3 is a fencing sword. My 5, 6, 1, 2, 3 has a point. My 6, 4, 3 was the need of the Tin Man. My 5, 3, 10, 8 is a Spanish dessert. My whole is a U.S. State.",California,Ohio,Vermont,Florida,0
"My 1, 6, 7, 8 can a-maize. My 5, 6, 9, 3 is a fencing sword. My 5, 6, 1, 2, 3 has a point. My 6, 4, 3 was the need of the Tin Man. My 5, 3, 10, 8 is a Spanish dessert. My whole is a U.S. State.",Texas,Ohio,California,Vermont,2
"I can hurt, I can help, I'm kind, Sometimes I'm not, I can be said, You can hear me, Yet you can't see neither touch me. What am I?",slur,word,daughter,term,1
"I can hurt, I can help, I'm kind, Sometimes I'm not, I can be said, You can hear me, Yet you can't see neither touch me. What am I?",word,term,slur,sister,0
"Can you figure out what the following paragraph is about?  Wiggle jiggle, yellow middle, that's the best of what you are. White and tender, surround the center, cozy sitting in a crackling shell. Vitamins  and minerals in you. Oodles of the proteins, too! Come in to my tummy, oh so very yummy.",bacon,eggs,avocado,beans,1
"Can you figure out what the following paragraph is about?  Wiggle jiggle, yellow middle, that's the best of what you are. White and tender, surround the center, cozy sitting in a crackling shell. Vitamins  and minerals in you. Oodles of the proteins, too! Come in to my tummy, oh so very yummy.",eggs,chicken,avocado,bacon,0
"I can be short, but I can be long. I will get ticked off if I hear an alarm. I start in 60 seconds and am gone in 60 seconds.  In New York it is all in the way some perceive me.  What am I?",minute,favorite,mile,millisecond,0
"I can be short, but I can be long. I will get ticked off if I hear an alarm. I start in 60 seconds and am gone in 60 seconds.  In New York it is all in the way some perceive me.  What am I?",mile,halfway,millisecond,minute,3
"Santa rides this to bring the toys. With the reindeer's help, it doesn't make much noise.",horse,Santa,sleigh,snowman,2
"Santa rides this to bring the toys. With the reindeer's help, it doesn't make much noise.",reindeer,horse,Santa,sleigh,3
I have a long sticky tongue and four legs. What am I?,hippo,giraffe,ostrich,squirrel,1
I have a long sticky tongue and four legs. What am I?,giraffe,elephant,hippo,squirrel,0
It's in your hand though you cannot feel it. Only you and time can reveal it.,visual novel,comma,hyphen,fate,3
It's in your hand though you cannot feel it. Only you and time can reveal it.,comma,fate,visual novel,damnation,1
You are falling out of a window. What season is it?,rise,fall,slip,mountain,1
You are falling out of a window. What season is it?,slip,fall,volcano,rise,1
"I am one, though worth a thousand, Usually a memory, sometimes surrounded .By the remnants of a long-gone tree; A portion of time is captured by me.",thumbnail,comma,selfie,picture,3
"I am one, though worth a thousand, Usually a memory, sometimes surrounded .By the remnants of a long-gone tree; A portion of time is captured by me.",picture,thumbnail,selfie,hyphen,0
People who make it don't want it. People who buy it don't use it. People who use it don't know it. What is this item?,trash,driveway,garbage,hearse,2
People who make it don't want it. People who buy it don't use it. People who use it don't know it. What is this item?,dogshit,trash,garbage,hearse,2
What does the Griffin family have that the Simpson family does not?,talking dog,cartoon character,silhouette,sky,0
What does the Griffin family have that the Simpson family does not?,talking dog,sky,cartoon character,magic powers,0
What age most travelers have?,dining,infatuation,baggage,guilt,2
What age most travelers have?,guilt,baggage,suitcase,dining,1
"Little Nancy Etticote, in a white petticoat. With a red nose; the longer she stands, the shorter she grows.",candle,comma,wind,torch,0
"Little Nancy Etticote, in a white petticoat. With a red nose; the longer she stands, the shorter she grows.",wind,candle,comma,hyphen,1
What is both possible and impossible at the same time?,scarcity,inevitability,impossible,impossibility,3
What is both possible and impossible at the same time?,impossibility,impossible,improbability,scarcity,0
I'm sometimes made into a coin. And sometimes into an ingot. When at the end of a rainbow. I am what is inside the pot. What am I?,iron,platinum,silver,gold,3
I'm sometimes made into a coin. And sometimes into an ingot. When at the end of a rainbow. I am what is inside the pot. What am I?,diamond,silver,platinum,gold,3
"What word am I thinking of?  Take a large body of water, The middle of your apple, Take one end of peep.And the middle too. What word am I thinking of?",costume,ceiling,scarf,cape,3
"What word am I thinking of?  Take a large body of water, The middle of your apple, Take one end of peep.And the middle too. What word am I thinking of?",costume,cape,door,ceiling,1
"They go up and down at times in succession.  Arrangements baffle some, but are pleasing to others.  They may be seen and heard, but not felt by hand or tasted.  What are they?",soundwaves,music notes,ukulele,Atlantic,1
"They go up and down at times in succession.  Arrangements baffle some, but are pleasing to others.  They may be seen and heard, but not felt by hand or tasted.  What are they?",highway,music notes,ukulele,Atlantic,1
In the morning I sing on feathered wing. I soar through the air without a care. What am I?,squirrel,peacock,snake,bird,3
In the morning I sing on feathered wing. I soar through the air without a care. What am I?,snake,squirrel,rabbit,bird,3
"""What does the ""H"" in ""IHU"" stand for?""",cant,hear,Hawaii,Maine,1
"""What does the ""H"" in ""IHU"" stand for?""",hear,Maine,say,Hawaii,0
Without what would everyone lose their head?,head,forearm,neck,envy,2
Without what would everyone lose their head?,envy,head,gorgeous,neck,3
"I can flutter and take your breath away. I can take a beating, but do not bruise. If I stopped you would be sure to lose. Everyday I am with you. What am I?",before,heart,stomach,blood,1
"I can flutter and take your breath away. I can take a beating, but do not bruise. If I stopped you would be sure to lose. Everyday I am with you. What am I?",second,heart,stomach,blood,1
"I am sometimes white but usually black. I take you there, but I never bring you back. What am I?",minivan,casket,garbage truck,hearse,3
"I am sometimes white but usually black. I take you there, but I never bring you back. What am I?",minivan,casket,driveway,hearse,3
"I hide in a dark tunnel awaiting my time. I can only be released by pulling back. Once released, I may do unstoppable damage. What am I?",arrow,buckshot,bullet,shrapnel,2
"I hide in a dark tunnel awaiting my time. I can only be released by pulling back. Once released, I may do unstoppable damage. What am I?",buckshot,ramrod,shrapnel,bullet,3
"With hands, measure them.With care, break them.With hope, play them.But it is often prudent to hold them. What are they?",pigs,horses,rabbits,castle,1
"With hands, measure them.With care, break them.With hope, play them.But it is often prudent to hold them. What are they?",sword,pigs,horses,rabbits,2
"I am a riddle that the answer is gone. Get it right, you have until dawn. What is it?",risen,island,gone,compass,2
"I am a riddle that the answer is gone. Get it right, you have until dawn. What is it?",forgotten,gone,island,risen,1
"Two men are in a desert. They both have packs on. One of the guys is dead. The guy who is alive has his pack open, the guy who is dead has his pack closed. What is in the pack?",helicopter,parachute,rocket,crane,1
"Two men are in a desert. They both have packs on. One of the guys is dead. The guy who is alive has his pack open, the guy who is dead has his pack closed. What is in the pack?",airplane,helicopter,parachute,rocket,2
Soda Soup Trash Tin,cartons,sky,silhouette,cans,3
Soda Soup Trash Tin,silhouette,cans,cartons,bottles,1
The white house are made out of white bricks. The orange house is made out of orange bricks. The purple house is made out of purple bricks. What was the green house made out of!,foam,water,glass,lava,2
The white house are made out of white bricks. The orange house is made out of orange bricks. The purple house is made out of purple bricks. What was the green house made out of!,lava,glacier,water,glass,3
"I’m a word, six letters long; I sometimes enter with a gong. All in order from A to Z, I start with the letter B. What is the word?",ends,aunt,begins,disappears,2
"I’m a word, six letters long; I sometimes enter with a gong. All in order from A to Z, I start with the letter B. What is the word?",aunt,begins,sister,disappears,1
Who can you not marrying?,Christmas,Hanukkah,Thanksgiving,The Holidays,0
Who can you not marrying?,Hanukkah,Christmas,Thanksgiving,Halloween,1
"You breathe out, I breathe in. You let go, I breathe out. What am I?",blimp,balloon,poison,parachute,1
"You breathe out, I breathe in. You let go, I breathe out. What am I?",gravity,blimp,balloon,poison,2
"Bloody paste and wine gone bad, Sugar and spice within are had, In packs it lives from day to day, In bottles, too, it strives to stay. What is it?",mustard,ketchup,macaroni,fries,1
"Bloody paste and wine gone bad, Sugar and spice within are had, In packs it lives from day to day, In bottles, too, it strives to stay. What is it?",macaroni,mustard,cheese,ketchup,3
I am the thing that is used to make your weight. What am i?,air resistance,helium balloon,geometry,gravity,3
I am the thing that is used to make your weight. What am i?,helium balloon,geometry,buoyancy,gravity,3
"Who hates girls, but loves walls?",cartoon,television,Donald Trump,Hillary Clinton,2
"Who hates girls, but loves walls?",Hillary Clinton,Joe Biden,television,Donald Trump,3
"I am most often seen in the service of gentlemen. Though I am no dog, I stand and sit on command. Though I am no musician, when I stand, people say I'm sharp, and when I sit, people call me flat. But no matter if I sit or stand, you'll probably see me 'round. What am I?",monocle,Top hat,beret,Atlantic,1
"I am most often seen in the service of gentlemen. Though I am no dog, I stand and sit on command. Though I am no musician, when I stand, people say I'm sharp, and when I sit, people call me flat. But no matter if I sit or stand, you'll probably see me 'round. What am I?",beret,Top hat,highway,monocle,1
A canvas full of stars.,sky,horizon,sun,clouds,0
A canvas full of stars.,sky,sun,clouds,moon,0
"Place your fingers in my eyes, and I will open my jaws to devour paper and cloth. What am I?",tweezers,scissors,pliers,fingernail,1
"Place your fingers in my eyes, and I will open my jaws to devour paper and cloth. What am I?",fingernail,scissors,tweezers,dental floss,1
Restroom Counter Gate Depart,food court,taxi,hotel,airport,3
Restroom Counter Gate Depart,food court,hotel,airport,subway,2
"What has a face, but no head; hands, but no feet; yet travels everywhere and is usually running?",clouds,watch,binge,live,1
"What has a face, but no head; hands, but no feet; yet travels everywhere and is usually running?",clouds,binge,sky,watch,3
What has four fingers and a thumb but is not alive?,catcher,jock strap,glove,envy,2
What has four fingers and a thumb but is not alive?,catcher,glove,gorgeous,envy,1
"""What is ""ammo""?""",firearms,ammunition,weapon,cannon,1
"""What is ""ammo""?""",weapon,ammunition,firearms,guns,1
This is found in your body. From your feet up to your head. It is a type of liquid. And it is the color red. What am I?,kidney,semen,blood,saliva,2
This is found in your body. From your feet up to your head. It is a type of liquid. And it is the color red. What am I?,saliva,blood,kidney,urine,1
"Everyday you see it, but do not pay close attention to it. It changes colour as the day passes but always returns to the same colour as it was before.",clouds,sky,moon,sun,1
"Everyday you see it, but do not pay close attention to it. It changes colour as the day passes but always returns to the same colour as it was before.",horizon,moon,sun,sky,3
"What moves faster than the speed of light, something that a camera produces and is red and yellow?",halfway,flash,burst,favorite,1
"What moves faster than the speed of light, something that a camera produces and is red and yellow?",favorite,halfway,daredevil,flash,3
"I always wait unit you're off guard or get older so you can become easier to attack. Once your body is weak, I strike inside you and try to kill you.   What am i",bronchitis,pneumonia,rabies,fever,3
"I always wait unit you're off guard or get older so you can become easier to attack. Once your body is weak, I strike inside you and try to kill you.   What am i",rabies,pneumonia,fever,vomiting,2
"Sometimes skin is scraped off, Sometimes nails are pulled off. Sometimes hair is pulled out, Sometimes hot wax is applied to bare skin. But always there is an application of withering heat. Sometimes the person is encased in an apparatus to make only a particular body part hot. It varies, it could  be feet, hands or head. No one is spared, and sometimes many body parts get the heat treatment. It's a controlled heat, not meant to kill. Yet, women have dyed here.  Those who satisfy the demands for money get to leave, but all show the effects of what they've undergone, and all feel definitely hotter. What is this place?",beauty shop,childhood,imagination,nail salon,0
"Sometimes skin is scraped off, Sometimes nails are pulled off. Sometimes hair is pulled out, Sometimes hot wax is applied to bare skin. But always there is an application of withering heat. Sometimes the person is encased in an apparatus to make only a particular body part hot. It varies, it could  be feet, hands or head. No one is spared, and sometimes many body parts get the heat treatment. It's a controlled heat, not meant to kill. Yet, women have dyed here.  Those who satisfy the demands for money get to leave, but all show the effects of what they've undergone, and all feel definitely hotter. What is this place?",hair dresser,beauty shop,imagination,childhood,1
"What can't you see, hear or feel, until it’s too late. What shadows love, and shopkeepers hate?",murderer,thief,robber,burglar,1
"What can't you see, hear or feel, until it’s too late. What shadows love, and shopkeepers hate?",murderer,burglar,thief,shopkeeper,2
"""What does the ""O"" in ""OG"" stand for?""",classic,cartoon,original,unique,2
"""What does the ""O"" in ""OG"" stand for?""",clone,cartoon,original,classic,2
Look for pairs within my tiles. I am a game that brings fun and lots of smiles. What am I?,Tetris,Monopoly,poker,Mahjong,3
Look for pairs within my tiles. I am a game that brings fun and lots of smiles. What am I?,Mahjong,Tetris,Catan,Monopoly,0
"I can hold you prisoner Or set you free I can swing with ease (Though not from a tree) I have many shapes I have many sizes Yet, til we shake hands I'll hide my surprises. What am I?",door,window,hallway,stairwell,0
"I can hold you prisoner Or set you free I can swing with ease (Though not from a tree) I have many shapes I have many sizes Yet, til we shake hands I'll hide my surprises. What am I?",garage,door,window,hallway,1
What am I?,discussion,comma,question,suggestion,2
What am I?,hyphen,suggestion,question,comma,2
"What is black and white , can swim but never walks.",dolphin,shark,alligator,killer whale,3
"What is black and white , can swim but never walks.",shark,killer whale,alligator,squirrel,1
What is lighter than air but can never be lifted?,cutter,cone,bubble,well,2
What is lighter than air but can never be lifted?,well,canister,cutter,bubble,3
"I have a pet, his body is full of coins.",accountant,piggy bank,coffers,debt,1
"I have a pet, his body is full of coins.",savings account,debt,piggy bank,coffers,2
It describes an era in history during which lights was hard to come by.,silhouette,sky,dark ages,modern era,2
It describes an era in history during which lights was hard to come by.,silhouette,modern era,renaissance,dark ages,3
Tomorrow Is Neither Wednesday Nor Thursday. Yesterday Was Not Friday Or Saturday. Today Is Not Thursday Nor Monday Nor Sunday. What Day Is Today?,Thursday,Saturday,Monday,Friday,3
Tomorrow Is Neither Wednesday Nor Thursday. Yesterday Was Not Friday Or Saturday. Today Is Not Thursday Nor Monday Nor Sunday. What Day Is Today?,Thursday,Friday,Monday,Sunday,1
"To some people I bring laughs, For others tears. I can be about the future, Or about past years. I can be educational, Or just plain dumb. Come see me with friends, You are sure to have fun. What am I?",movie,screenplay,theater,tv series,0
"To some people I bring laughs, For others tears. I can be about the future, Or about past years. I can be educational, Or just plain dumb. Come see me with friends, You are sure to have fun. What am I?",Aladdin,screenplay,movie,theater,2
They're a nuisance at times.But mostly a blessing.They bring joy to our hearts .Even if they are fussy. They're called gifts from above.And it's got to be true. Because it's an incredible miracle.If one's given to you.,Atlantic,babies,puppies,highway,1
They're a nuisance at times.But mostly a blessing.They bring joy to our hearts .Even if they are fussy. They're called gifts from above.And it's got to be true. Because it's an incredible miracle.If one's given to you.,newborns,highway,babies,puppies,2
What can you catch but not throw?,cold,humid,warm,rainstorm,0
What can you catch but not throw?,rainstorm,cold,humid,winter,1
What has a bottom at the top?,hyphen,ankles,torso,legs,3
What has a bottom at the top?,hyphen,torso,comma,legs,3
I can't see yet I know your there. I'm not a cow but I'm leather. I'm a rare find but follow paths. I can fly but I'm not a bird. What am I?,bat,hitter,pillow,homerun,0
I can't see yet I know your there. I'm not a cow but I'm leather. I'm a rare find but follow paths. I can fly but I'm not a bird. What am I?,hitter,shoulder,homerun,bat,3
"I pass before the sun, yet make no shadow. What am I?",rain,wind,water,comma,1
"I pass before the sun, yet make no shadow. What am I?",wind,comma,hyphen,water,0
"""What is a ""let down""?""",frustration,hyphen,sadness,disappointment,3
"""What is a ""let down""?""",comma,hyphen,frustration,disappointment,3
"Get me to drink, Look through me to see. As I drop get a broom, Sweep, sweep, sweep. Sand my friend, floor my foe. What am I?",glacier,glass,lava,foam,1
"Get me to drink, Look through me to see. As I drop get a broom, Sweep, sweep, sweep. Sand my friend, floor my foe. What am I?",glass,lava,water,glacier,0
"""What does the second ""W"" in ""WWW"" stand for?""",wide,tall,easy,clever,0
"""What does the second ""W"" in ""WWW"" stand for?""",large,clever,wide,tall,2
This baked dish consists of an opentopped pastry case with a savory or sweet filling.,fondue,flan,pancakes,cheesecake,1
This baked dish consists of an opentopped pastry case with a savory or sweet filling.,flan,pancakes,fondue,chocolate,0
Lettuce Carrot Cucumber Stringbean,tomatoes,broccoli,vegetables,carrots,2
Lettuce Carrot Cucumber Stringbean,carrots,tomatoes,rice,vegetables,3
There was a plane crash and every single person died. Who survived?,Married couples,highway,Atlantic,marriages,0
There was a plane crash and every single person died. Who survived?,Married couples,highway,divorces,marriages,0
"I am used for light yet I am solid. Without me you would feel enclosed. I hate being touched, especially with a lot of force. I like to be in buildings. What am I?",ceiling,window,curtains,balcony,1
"I am used for light yet I am solid. Without me you would feel enclosed. I hate being touched, especially with a lot of force. I like to be in buildings. What am I?",door,curtains,balcony,window,3
What has a foot but no leg?,emperor,jupiter,pencil,ruler,3
What has a foot but no leg?,emperor,monarch,pencil,ruler,3
You're gonna need a bigger boat to go after one of these toothy hunters.,alligator,dolphins,crocodile,sharks,3
You're gonna need a bigger boat to go after one of these toothy hunters.,alligator,sharks,warriors,dolphins,1
I cannot be burned in fire or drowned in water. What am I?,lava,ice,puck,glacier,1
I cannot be burned in fire or drowned in water. What am I?,puck,snow,lava,ice,3
What has an eye but can not see?,price,needle,tweezers,fingernail,1
What has an eye but can not see?,needle,fingernail,tweezers,syringe,0
"If it's a course due west or due east you chart.Then a crossing of me will not be a part. I span the globe, as schoolchildren are aware.Yet in the real world, you will not find me there. I've no start nor end, but infinite I'm not.A value of zero is all that I got. What am I?",troposphere,equator,Antarctica,tropics,1
"If it's a course due west or due east you chart.Then a crossing of me will not be a part. I span the globe, as schoolchildren are aware.Yet in the real world, you will not find me there. I've no start nor end, but infinite I'm not.A value of zero is all that I got. What am I?",equator,northern hemisphere,troposphere,Antarctica,0
Sal I run. What is the anagram word?,politics,xenophobic,insular,isolated,2
Sal I run. What is the anagram word?,insular,xenophobic,esoteric,politics,0
What is made of wood but no saw on earth is sharp enough to cut?,manure,wood,charcoal,sawdust,3
What is made of wood but no saw on earth is sharp enough to cut?,charcoal,sawdust,wood,compost,1
"I have a foot, yet no legs. I have a house yet no furniture. I choose to be on the move, but moving isn't so easy. What am I?",bee,lizard,frog,snail,3
"I have a foot, yet no legs. I have a house yet no furniture. I choose to be on the move, but moving isn't so easy. What am I?",lizard,frog,turtle,snail,3
"A riddle game is played below, Can you name this charming fellow?  Someone looks me in the eye.I know who, and I know why.I know them well, and they know me.A very special bond, have we. We share the same thoughts, and the same place.We agree always in every case.Linked to the very last degree.If I should die then so would he. I never see my friend once blink.Nor twice nor ever, I should think.Though I will see him sometimes wink.But I see him come to the very brink.Of when his eyes will finally blink. Everyone has a friend like mine.Some hate them, some think them fine.Some people love them more than air.Whilst others wish they were not there. Mine will not move without consent.Though I could not make him repent.I like him, though, for when I smile.He smiles back for all the while",agony,mirror,purity,reflection,3
"A riddle game is played below, Can you name this charming fellow?  Someone looks me in the eye.I know who, and I know why.I know them well, and they know me.A very special bond, have we. We share the same thoughts, and the same place.We agree always in every case.Linked to the very last degree.If I should die then so would he. I never see my friend once blink.Nor twice nor ever, I should think.Though I will see him sometimes wink.But I see him come to the very brink.Of when his eyes will finally blink. Everyone has a friend like mine.Some hate them, some think them fine.Some people love them more than air.Whilst others wish they were not there. Mine will not move without consent.Though I could not make him repent.I like him, though, for when I smile.He smiles back for all the while",mirror,lens,reflection,purity,2
I am the building with number stories. Find me who am I?,library,documents,underwear,corset,0
I am the building with number stories. Find me who am I?,library,bookstore,underwear,documents,0
A large oasis in the desert. Come with cash and leave with none. What am I?,Seattle,hyphen,Las Vegas,Chicago,2
A large oasis in the desert. Come with cash and leave with none. What am I?,Chicago,Seattle,Las Vegas,comma,2
"Walk on the living, they don't even mumble. Walk on the dead, they mutter and grumble.",stays,moon,clouds,leaves,3
"Walk on the living, they don't even mumble. Walk on the dead, they mutter and grumble.",stays,moon,leaves,leaving,2
"I lie a lot, and have to be removed to move. Lots of people love me and love my lies. I am very soft and many things get lost in me.  What am I?",curtain,carpet,baseboards,bed sheets,1
"I lie a lot, and have to be removed to move. Lots of people love me and love my lies. I am very soft and many things get lost in me.  What am I?",carpet,mattress,curtain,bed sheets,0
"Green but not a lizard, white without being snow, and bearded without being a man.",cabbage,asparagus,leek,broccoli,2
"Green but not a lizard, white without being snow, and bearded without being a man.",asparagus,garlic,leek,cabbage,2
"I open wide and tight I shut, sharp am I and papercut fingers too. So do take care, I'm good and bad, so best beware.",tweezers,scissors,fingernail,dental floss,1
"I open wide and tight I shut, sharp am I and papercut fingers too. So do take care, I'm good and bad, so best beware.",pliers,dental floss,tweezers,scissors,3
What flower would remind you of a certain animal that took a great deal of care about his appearance?,tiger,dandelion,sunflowers,violets,1
What flower would remind you of a certain animal that took a great deal of care about his appearance?,dandelion,hyena,violets,tiger,0
I can distract you and I can hurt you.  You always check me out regularly.  What am I?,device,phone,speaker,tablet,1
I can distract you and I can hurt you.  You always check me out regularly.  What am I?,phone,recorder,tablet,speaker,0
What do you call a man with no shins?,Steve,Thor,Tony,quill,2
What do you call a man with no shins?,quill,Tony,Steve,Cap,1
Water dwelling mammal known for its work ethic.,deer,moose,beaver,duck,2
Water dwelling mammal known for its work ethic.,squirrel,beaver,deer,moose,1
"If you aim to give us a shot, we'll riddle you.What are we?",bullets,headshots,ramrod,arrow,0
"If you aim to give us a shot, we'll riddle you.What are we?",arrow,ramrod,grenades,bullets,3
"I run cold and hot, I look blue but am red. What am I?",blood,urine,semen,saliva,0
"I run cold and hot, I look blue but am red. What am I?",urine,saliva,kidney,blood,3
"From house to house he goes, A messenger often small and slight. And whether it rains or snows, He sleeps outside at night. What is he?",bike lane,sidewalk,rainstorm,roadway,1
"From house to house he goes, A messenger often small and slight. And whether it rains or snows, He sleeps outside at night. What is he?",sidewalk,bike lane,rainstorm,mud,0
Grub is a term for what?,food,cafeteria,meals,ihop,0
Grub is a term for what?,ihop,meat,food,meals,2
"""What are you if you're ""BZ""?""",busy,Atlantic,overworked,highway,0
"""What are you if you're ""BZ""?""",overworked,highway,preoccupied,busy,3
"What is born long, dies short, and spends its life leaving a trail?",crayon,eraser,pencil,paintbrush,2
"What is born long, dies short, and spends its life leaving a trail?",sharpie,paintbrush,crayon,pencil,3
"Innocent prisoners held by everyone.Yet the day of our release is usually a sad one.Hide us or embrace us, it's your choice.But deep inside you lies the truth's voice.We can't feel, speak, see or hear.Yet we make a big statement the second we appear",hyphen,tears,sweat,comma,1
"Innocent prisoners held by everyone.Yet the day of our release is usually a sad one.Hide us or embrace us, it's your choice.But deep inside you lies the truth's voice.We can't feel, speak, see or hear.Yet we make a big statement the second we appear",laughter,comma,tears,sweat,2
